"","pct","donald_j_trump","marco_rubio","rafael_edward_cruz","john_kasich","benjamin_s_carson_sr","jeb_bush","rand_paul","mike_huckabee","chris_christie","carly_fiorina","jim_gilmore","lindsey_graham","rick_santorum","all_others","fips"
"1","101 - Chincoteague",328,107,66,30,63,1,1,1,1,0,1,0,0,0,"51001"
"2","201 - Atlantic",139,43,44,9,29,0,1,0,0,1,0,0,0,0,"51001"
"3","202 - Greenbackville",192,67,64,15,35,0,2,1,0,1,0,1,0,0,"51001"
"4","301 - Oak Hall",146,39,45,5,29,0,2,0,0,0,0,1,0,0,"51001"
"5","401 - Bloxom",85,31,17,6,20,0,0,2,0,0,0,0,0,0,"51001"
"6","402 - Parksley",125,45,57,6,21,0,1,0,1,0,2,0,0,0,"51001"
"7","403 - Saxis",45,10,15,2,10,0,0,1,0,0,1,0,0,0,"51001"
"8","501 - Mappsville",61,17,19,2,22,0,0,0,0,0,0,0,0,0,"51001"
"9","502 - Rue",24,18,14,4,7,0,1,0,0,0,0,0,0,0,"51001"
"10","601 - Accomac",169,65,62,15,23,0,0,1,1,0,0,0,0,0,"51001"
"11","602 - Tangier",76,41,16,2,21,0,0,1,0,0,0,0,0,0,"51001"
"12","701 - Onancock",154,138,62,35,43,0,0,0,0,1,0,0,0,0,"51001"
"13","702 - Onley",78,42,30,17,9,1,2,1,0,0,0,0,0,0,"51001"
"14","801 - Bobtown",87,54,47,20,14,0,0,0,0,0,0,0,0,0,"51001"
"15","802 - Melfa",89,45,28,2,19,0,0,1,0,0,0,0,0,0,"51001"
"16","803 - Wachapreague",106,42,27,11,14,2,1,0,1,0,0,0,1,0,"51001"
"17","901 - Painter",139,77,56,27,30,0,1,0,0,0,0,0,0,0,"51001"
"18","Ab - Central Absentee Precinct",25,26,16,2,2,0,0,1,0,1,0,0,0,0,"51001"
"19","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51001"
"20","101 - Woodbrook",126,221,118,109,38,1,4,1,1,0,1,0,0,0,"51003"
"21","103 - Branchlands",43,52,33,21,13,1,1,1,0,1,0,1,1,0,"51003"
"22","104 - Agnor-hurt",99,117,58,35,17,0,1,1,0,0,0,0,1,0,"51003"
"23","105 - Dunlora",123,243,70,127,22,4,2,1,1,1,0,0,0,0,"51003"
"24","106 - Northside",179,235,135,91,32,6,1,4,1,1,3,0,0,0,"51003"
"25","201 - Jack Jouett",107,193,73,87,23,1,3,0,0,0,1,0,1,0,"51003"
"26","202 - University Hall",29,218,21,65,7,1,0,0,0,0,0,0,0,0,"51003"
"27","203 - Georgetown",72,120,67,40,13,0,1,0,1,0,0,0,1,0,"51003"
"28","204 - Belfield",63,101,27,96,4,3,0,1,1,0,0,0,0,0,"51003"
"29","301 - Ivy",175,401,143,186,29,0,0,0,0,0,0,1,2,0,"51003"
"30","302 - Red Hill",146,173,135,64,17,0,0,0,0,0,1,0,0,0,"51003"
"31","304 - East Ivy",48,106,19,59,15,1,1,0,1,0,0,0,0,0,"51003"
"32","305 - Country Green",88,151,91,53,24,2,4,0,1,0,0,0,0,0,"51003"
"33","306 - Porters",74,48,50,8,11,1,2,0,0,0,0,0,0,0,"51003"
"34","307 - Yellow Mountain",32,61,26,24,6,1,2,0,0,0,0,0,0,0,"51003"
"35","401 - Scottsville",141,82,63,24,17,0,1,0,0,0,1,0,0,0,"51003"
"36","402 - Monticello",127,47,53,16,12,0,1,0,2,1,0,1,0,0,"51003"
"37","405 - Cale",151,282,107,102,34,2,5,3,0,2,0,0,0,1,"51003"
"38","406 - Stone Robinson",246,276,128,133,35,2,3,1,0,0,0,0,0,0,"51003"
"39","501 - Keswick",104,102,52,19,13,0,1,2,0,0,1,0,1,1,"51003"
"40","502 - Stony Point",100,135,74,58,12,1,2,0,0,0,0,0,0,0,"51003"
"41","503 - Hollymead",130,270,74,96,39,1,1,0,2,0,1,0,0,0,"51003"
"42","504 - Free Bridge",180,297,113,180,20,2,1,0,2,3,0,1,0,0,"51003"
"43","506 - Baker-butler",202,278,142,102,35,0,2,1,2,0,1,0,0,0,"51003"
"44","601 - Crozet",220,326,137,122,51,8,4,2,2,1,0,0,1,0,"51003"
"45","602 - Free Union",93,100,58,34,16,0,0,0,0,0,0,0,0,0,"51003"
"46","603 - Earlysville",227,308,144,106,48,3,2,2,0,1,2,0,0,0,"51003"
"47","604 - Brownsville",245,429,139,187,49,3,3,2,1,2,2,0,0,0,"51003"
"48","Ab - Central Absentee Precinct",91,146,72,62,13,17,0,0,2,1,0,0,0,0,"51003"
"49","Provisional",3,4,0,0,0,0,0,0,0,0,0,0,0,0,"51003"
"50","101 - Ladrey Senior Building",120,174,30,113,11,1,1,0,0,0,1,0,0,0,"51510"
"51","102 - City Hall",107,280,36,189,4,4,4,0,1,1,2,0,0,0,"51510"
"52","103 - Lyles Crouch School",108,302,32,195,5,2,1,0,1,2,0,0,0,0,"51510"
"53","104 - Durant Center",71,215,35,112,4,2,3,1,0,0,0,1,0,0,"51510"
"54","105 - Lee Center",104,233,46,122,12,1,0,0,0,0,1,1,0,0,"51510"
"55","106 - Cora Kelly Center",64,231,44,85,10,4,4,1,0,0,0,0,0,0,"51510"
"56","107 - Mt Vernon Recreation Center",109,372,56,160,15,0,1,0,0,0,1,1,1,0,"51510"
"57","108 - George Washington Middle Sch",84,333,41,159,13,4,2,1,1,1,0,0,0,0,"51510"
"58","109 - Fire Department Headquarters",104,241,34,110,13,1,2,0,0,0,1,0,0,0,"51510"
"59","110 - Charles Houston Center",48,223,19,92,6,0,2,0,0,0,0,0,0,0,"51510"
"60","201 - Maury School",84,266,27,151,4,3,1,1,0,0,0,2,0,0,"51510"
"61","202 - George Mason School",88,353,35,192,13,0,1,0,1,1,0,0,0,0,"51510"
"62","203 - Agudas Achim Synagogue",80,211,33,108,6,2,1,1,0,0,1,0,0,0,"51510"
"63","204 - Blessed Sacrament Church",92,281,30,184,12,2,1,0,2,0,0,0,0,0,"51510"
"64","205 - Douglas Macarthur School",140,302,58,169,15,2,2,0,0,1,1,0,0,0,"51510"
"65","206 - Chinquapin Park Recreation Ctr",68,190,34,103,8,3,1,0,0,0,2,0,0,0,"51510"
"66","207 - Temple Beth El Synagogue",131,291,39,131,13,1,0,0,0,2,0,0,0,0,"51510"
"67","208 - Nova Arts Center",67,213,34,64,5,4,0,0,1,0,2,0,0,0,"51510"
"68","209 - James K Polk School",87,233,52,81,10,3,1,0,0,1,1,2,0,0,"51510"
"69","210 - The Hermitage",78,120,23,55,11,6,1,0,0,1,0,0,0,0,"51510"
"70","302 - Patrick Henry Rec Center",43,102,24,39,7,1,2,1,0,1,0,0,2,0,"51510"
"71","303 - Charles E Beatley Library",79,89,41,34,11,2,1,0,0,0,0,0,0,0,"51510"
"72","304 - Samuel Tucker School",82,136,34,61,7,2,0,0,0,1,0,0,0,0,"51510"
"73","305 - John Adams School",54,95,27,47,9,0,0,2,0,0,1,0,1,0,"51510"
"74","306 - William Ramsay School",71,102,20,40,7,0,0,1,1,0,0,1,0,0,"51510"
"75","307 - South Port",95,114,33,52,9,1,0,1,1,0,0,0,0,0,"51510"
"76","308 - Cameron Station Community Ctr",154,279,65,152,19,3,2,0,1,0,0,0,1,0,"51510"
"77","Ab - Central Absentee Precinct",134,357,54,152,13,36,1,1,3,1,1,0,1,0,"51510"
"78","Provisional",12,28,1,7,0,0,1,0,0,0,0,0,0,0,"51510"
"79","101 - Arritt",90,30,25,3,11,0,1,0,0,0,0,0,1,0,"51005"
"80","103 - Dameron",42,19,7,5,4,0,0,0,0,0,0,0,0,0,"51005"
"81","201 - Humpback Bridge",45,23,13,1,8,1,0,0,0,0,0,0,0,0,"51005"
"82","202 - Dolly Ann",63,30,20,16,11,0,1,2,1,0,0,0,0,0,"51005"
"83","301 - Callaghan",70,7,12,7,10,0,0,0,0,0,0,0,0,0,"51005"
"84","302 - Griffith",70,44,25,8,17,0,1,0,0,0,0,0,0,0,"51005"
"85","401 - Low Moor",49,19,10,6,14,0,0,2,0,0,0,0,0,0,"51005"
"86","402 - Jackson Heights",98,27,23,6,10,1,1,0,1,1,0,0,0,0,"51005"
"87","501 - Iron Gate",18,15,12,1,5,0,0,0,0,0,0,0,0,0,"51005"
"88","502 - Peters Switch",74,58,38,8,14,1,0,0,0,0,0,0,0,0,"51005"
"89","601 - District 1",64,73,35,4,13,1,0,0,0,0,0,0,0,0,"51005"
"90","701 - District 2",49,25,21,1,13,0,0,1,0,0,0,0,0,0,"51005"
"91","Ab - Central Absentee Precinct",10,9,3,2,1,0,0,0,0,0,0,0,0,0,"51005"
"92","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51005"
"93","101 - Number One",158,52,68,7,27,0,0,1,2,0,0,1,0,0,"51007"
"94","201 - Number Two",195,95,100,20,25,1,0,1,1,0,0,0,1,0,"51007"
"95","301 - Number Three",224,94,88,8,23,0,2,1,0,0,1,0,0,0,"51007"
"96","401 - Number Four",240,118,109,11,29,2,0,0,0,0,1,0,0,0,"51007"
"97","501 - Number Five",211,80,86,8,36,0,0,0,0,0,0,0,0,0,"51007"
"98","Ab - Central Absentee Precinct",27,17,19,2,2,1,0,0,0,0,0,0,0,0,"51007"
"99","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51007"
"100","101 - Wright Shop",82,31,48,2,12,1,0,0,0,0,0,0,0,0,"51009"
"101","102 - New Glasgow",142,61,115,9,32,0,0,0,0,1,1,0,0,0,"51009"
"102","103 - Coolwell",104,36,65,1,15,0,0,0,1,0,0,0,0,0,"51009"
"103","201 - Court House",245,163,151,28,73,2,2,1,5,0,1,0,0,0,"51009"
"104","202 - Temperance",115,47,64,12,28,0,0,3,0,0,0,0,0,0,"51009"
"105","301 - Monroe",131,54,73,10,29,1,1,0,0,0,0,0,0,0,"51009"
"106","302 - Elon",282,136,236,36,70,2,1,2,1,0,0,0,0,0,"51009"
"107","303 - Pleasant View",56,32,44,8,16,0,0,0,0,0,0,0,0,0,"51009"
"108","401 - Amelon",302,147,170,25,66,2,2,2,2,0,0,0,0,0,"51009"
"109","402 - Lonco",74,26,42,1,22,0,0,1,0,0,0,0,0,0,"51009"
"110","501 - Madison",213,128,183,15,64,2,1,1,1,0,0,0,0,0,"51009"
"111","Ab - Central Absentee Precinct",31,14,15,5,1,0,0,0,1,0,0,0,0,0,"51009"
"112","Provisional",0,0,3,0,0,0,0,0,0,0,0,0,0,0,"51009"
"113","101 - Vera",91,46,41,8,16,1,0,1,0,0,0,0,0,0,"51011"
"114","102 - Pamplin",134,54,88,6,19,0,0,3,0,0,0,0,0,0,"51011"
"115","201 - Chap",48,14,27,3,8,0,0,0,0,0,0,0,0,0,"51011"
"116","202 - Spout Spring",193,88,68,14,37,1,1,1,0,0,1,0,1,0,"51011"
"117","301 - Us 460",111,27,74,6,22,1,0,0,0,0,0,0,0,0,"51011"
"118","302 - Stonewall",116,41,96,6,34,1,1,2,0,0,0,0,0,1,"51011"
"119","401 - Courthouse",150,82,104,17,38,0,4,0,0,0,0,0,0,1,"51011"
"120","501 - Oakville",129,52,92,12,19,2,1,0,0,1,0,0,0,0,"51011"
"121","502 - Agee",46,25,29,9,14,0,5,0,0,0,0,0,0,0,"51011"
"122","Ab - Central Absentee Precinct",15,7,6,1,0,0,0,0,0,0,0,0,0,0,"51011"
"123","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51011"
"124","1 - Arlington",47,87,25,32,2,2,0,0,0,1,1,0,0,0,"51013"
"125","2 - Ashton Heights",68,217,35,114,4,0,3,0,0,0,0,0,0,0,"51013"
"126","3 - Aurora Hills",75,179,29,97,11,0,1,0,0,0,0,0,0,0,"51013"
"127","4 - Ballston",69,209,30,93,10,2,1,0,0,0,0,0,0,0,"51013"
"128","5 - Barcroft",54,169,36,76,5,1,0,0,0,0,0,0,0,0,"51013"
"129","6 - Crystal City",80,173,34,64,4,1,0,0,0,1,0,0,0,0,"51013"
"130","7 - Cherrydale",73,219,41,119,8,3,1,1,0,0,0,0,0,0,"51013"
"131","8 - Hume",97,253,40,101,17,3,3,0,1,1,0,0,1,0,"51013"
"132","9 - Columbia",90,201,29,88,16,1,3,0,0,0,0,0,0,0,"51013"
"133","10 - Wilson",82,245,21,110,12,1,1,0,0,0,0,0,0,0,"51013"
"134","11 - East Falls Church",60,173,29,96,11,1,1,1,2,0,0,1,0,0,"51013"
"135","12 - Fairlington",70,313,38,131,8,2,2,1,0,1,1,1,0,0,"51013"
"136","13 - Glen Carlyn",66,109,22,40,4,1,2,0,0,1,1,0,0,0,"51013"
"137","14 - Clarendon",41,189,22,79,2,1,1,0,0,1,0,0,0,0,"51013"
"138","15 - Lyon Park",67,229,37,84,7,5,2,0,0,1,1,0,0,0,"51013"
"139","16 - Lyon Village",64,262,34,110,3,3,2,0,0,1,0,0,0,0,"51013"
"140","17 - Overlee Knolls",88,225,55,148,10,2,3,0,1,0,0,0,0,0,"51013"
"141","18 - Park Lane",93,329,41,135,8,2,2,0,0,1,0,0,0,0,"51013"
"142","19 - Rosslyn",87,213,27,97,2,1,3,0,0,0,0,0,0,0,"51013"
"143","20 - Thrifton",100,273,47,184,11,4,2,0,2,1,0,0,1,0,"51013"
"144","21 - Virginia Highlands",108,349,42,108,5,5,1,0,1,3,1,0,0,0,"51013"
"145","22 - Abingdon",52,274,40,125,13,0,1,0,1,1,0,0,0,0,"51013"
"146","23 - Westover",83,208,39,98,7,1,1,1,0,0,0,0,0,0,"51013"
"147","24 - Woodlawn",83,275,44,108,7,1,0,0,0,1,0,1,0,0,"51013"
"148","25 - Arlington Forest",70,142,30,84,5,2,0,0,0,0,0,0,0,0,"51013"
"149","26 - Fillmore",65,199,52,78,12,3,3,0,0,1,0,0,1,0,"51013"
"150","27 - Jefferson",77,206,32,74,8,1,1,0,0,0,0,0,0,0,"51013"
"151","28 - Claremont",64,178,27,58,9,2,1,0,0,0,1,3,0,0,"51013"
"152","29 - Dominion Hills",60,252,43,94,12,2,3,0,0,1,0,1,0,0,"51013"
"153","30 - Glebe",57,105,18,51,5,1,1,0,1,0,0,1,0,0,"51013"
"154","31 - Lexington",72,215,33,156,8,1,4,1,1,0,0,0,1,0,"51013"
"155","32 - Oakridge",51,98,23,49,6,2,2,0,1,0,0,0,0,0,"51013"
"156","33 - Rock Spring",95,302,35,182,10,2,0,0,0,0,0,0,0,0,"51013"
"157","34 - Yorktown",61,229,41,136,4,1,0,0,2,1,0,2,0,0,"51013"
"158","35 - Madison",119,335,54,211,17,1,1,0,2,2,0,0,0,0,"51013"
"159","36 - Marshall",97,254,57,115,7,1,2,0,0,1,0,0,1,0,"51013"
"160","37 - Nottingham",88,242,31,153,11,2,1,1,0,0,0,0,2,0,"51013"
"161","38 - Arlington View",40,99,27,30,4,0,1,1,0,0,0,2,0,0,"51013"
"162","39 - Ashlawn",49,107,33,60,10,5,0,0,0,0,1,0,0,0,"51013"
"163","40 - Virginia Square",88,272,36,113,4,1,4,0,0,1,0,0,0,0,"51013"
"164","41 - Woodbury",66,233,25,96,3,4,1,0,1,2,0,1,0,0,"51013"
"165","42 - Shirlington",41,160,24,76,3,2,0,0,1,0,0,0,0,0,"51013"
"166","43 - Arlington Mill",27,48,10,12,1,1,0,0,0,0,1,0,0,0,"51013"
"167","44 - Dawson Terrace",38,129,15,78,5,0,0,0,1,0,0,0,0,0,"51013"
"168","45 - Buckingham",36,177,22,50,7,1,2,0,0,0,0,2,0,0,"51013"
"169","46 - Central",76,308,30,104,5,0,1,0,1,1,0,0,0,0,"51013"
"170","47 - Four Mile Run",49,135,12,43,4,3,2,0,1,0,0,0,0,0,"51013"
"171","48 - Courtlands",61,234,22,91,3,0,1,0,1,1,0,0,0,0,"51013"
"172","49 - Monroe",37,138,17,68,6,1,1,0,0,0,0,0,0,0,"51013"
"173","50 - Crystal Plaza",82,192,31,62,6,1,3,0,0,1,0,0,0,0,"51013"
"174","51 - Taylor",22,60,13,27,1,0,0,1,0,1,0,0,0,0,"51013"
"175","52 - Gunston",46,137,31,43,6,1,1,0,1,0,0,0,1,0,"51013"
"176","Ab - Central Absentee Precinct",190,405,85,201,18,37,8,2,7,7,1,0,0,0,"51013"
"177","Provisional",0,6,1,1,0,0,0,0,0,0,0,0,0,0,"51013"
"178","101 - Jolivue",122,104,88,18,24,0,0,0,0,0,0,0,1,0,"51015"
