"","id_string","andrew_g_andy_baan","jarome_bell","jen_a_kiggans","l_tommy_altman_iii","fips"
"1","# AB - Central Absentee Precinct (02)",4,16,27,3,"51001"
"2","# EV - Central Absentee Precinct (02)",1,77,86,10,"51001"
"3","# PE - Central Absentee Precinct (02)",0,2,0,0,"51001"
"4","## Provisional (02)",0,0,0,0,"51001"
"5","101 - CHINCOTEAGUE (02)",4,236,66,14,"51001"
"6","201 - ATLANTIC (02)",0,58,40,4,"51001"
"7","202 - GREENBACKVILLE (02)",3,83,68,9,"51001"
"8","301 - NEW CHURCH (02)",11,69,34,1,"51001"
"9","401 - BLOXOM (02)",4,35,21,0,"51001"
"10","402 - PARKSLEY (02)",3,42,33,2,"51001"
"11","403 - SAXIS (02)",2,20,28,0,"51001"
"12","501 - MAPPSVILLE (02)",0,23,19,0,"51001"
"13","502 - RUE (02)",1,8,9,3,"51001"
"14","601 - ACCOMAC (02)",0,70,71,9,"51001"
"15","602 - TANGIER (02)",3,38,23,0,"51001"
"16","701 - NANDUA (02)",2,66,97,4,"51001"
"17","801 - BOBTOWN (02)",3,26,31,10,"51001"
"18","802 - MELFA (02)",1,26,24,4,"51001"
"19","803 - WACHAPREAGUE (02)",6,48,35,5,"51001"
"20","901 - PAINTER (02)",4,63,64,10,"51001"
"21","Member House of Representatives (02)",1237,11330,23300,5972,"51001"
"22","Member House of Representatives (02) - ACCOMACK COUNTY",52,1006,776,88,"51001"
"23","# AB - Central Absentee Precinct (02)",53,72,282,61,"51550"
"24","# EV - Central Absentee Precinct (02)",23,162,271,171,"51550"
"25","# PE - Central Absentee Precinct (02)",4,11,20,6,"51550"
"26","## Provisional (02)",1,7,8,0,"51550"
"27","001 - GREAT BRIDGE (02)",3,84,92,49,"51550"
"28","002 - BETHEL (02)",1,87,135,56,"51550"
"29","006 - DEEP CREEK (02)",1,61,42,27,"51550"
"30","007 - GREENBRIER (02)",9,92,135,34,"51550"
"31","009 - BELLS MILL (02)",3,60,112,130,"51550"
"32","014 - GRASSFIELD (02)",3,103,112,59,"51550"
"33","016 - HICKORY GROVE (02)",3,97,108,119,"51550"
"34","017 - INDIAN CREEK (02)",4,53,73,46,"51550"
"35","023 - OAK GROVE (02)",5,45,76,26,"51550"
"36","028 - SUNRAY I (02)",2,15,19,12,"51550"
"37","034 - HICKORY MIDDLE SCHOOL (02)",1,80,154,68,"51550"
"38","036 - GREAT BRIDGE BAPTIST CHURCH (02)",2,51,103,59,"51550"
"39","037 - BRIDGETOWN (02)",6,58,90,42,"51550"
"40","039 - LAKE DRUMMOND (02)",7,46,66,23,"51550"
"41","041 - JOHN T WEST (02)",5,82,61,71,"51550"
"42","042 - PARKWAYS (02)",3,34,33,11,"51550"
"43","043 - PLEASANT CROSSING (02)",6,105,118,43,"51550"
"44","045 - SUNRAY II (02)",2,19,11,9,"51550"
"45","046 - BELLS MILL II (02)",3,48,74,49,"51550"
"46","049 - WATERWAY (02)",4,66,70,35,"51550"
"47","050 - RIVER WALK (02)",6,54,81,33,"51550"
"48","051 - COOPERS WAY (02)",5,85,120,100,"51550"
"49","052 - SHIPYARD ROAD (02)",1,25,36,10,"51550"
"50","053 - FAIRWAYS (02)",0,65,108,23,"51550"
"51","054 - PUGHSVILLE (02)",0,2,0,0,"51550"
"52","056 - GREEN TREE (02)",3,55,47,30,"51550"
"53","059 - CLEARFIELD (02)",5,55,79,34,"51550"
"54","060 - PARKER ROAD (02)",7,58,91,73,"51550"
"55","061 - CENTERVILLE (02)",3,79,149,106,"51550"
"56","062 - FENTRESS (02)",8,85,124,71,"51550"
"57","063 - POPLAR BRANCH (02)",2,42,81,50,"51550"
"58","064 - DEEP CREEK II (02)",2,46,35,26,"51550"
"59","065 - WATERWAY II (02)",3,59,108,60,"51550"
"60","Member House of Representatives (02)",1237,11330,23300,5972,"51550"
"61","Member House of Representatives (02) - CHESAPEAKE CITY",199,2248,3324,1822,"51550"
"62","# AB - Central Absentee Precinct (02)",2,1,10,1,"51620"
"63","# EV - Central Absentee Precinct (02)",0,10,16,2,"51620"
"64","# PE - Central Absentee Precinct (02)",0,2,0,0,"51620"
"65","## Provisional (02)",0,0,0,0,"51620"
"66","101 - PRECINCT 1-1 (02)",3,36,47,13,"51620"
"67","201 - PRECINCT 2-1 (02)",3,23,27,6,"51620"
"68","301 - PRECINCT 3-1 (02)",2,1,4,1,"51620"
"69","401 - PRECINCT 4-1 (02)",1,0,1,0,"51620"
"70","501 - PRECINCT 5-1 (02)",0,1,4,0,"51620"
"71","601 - PRECINCT 6-1 (02)",4,13,24,7,"51620"
"72","Member House of Representatives (02)",1237,11330,23300,5972,"51620"
"73","Member House of Representatives (02) - FRANKLIN CITY",15,87,133,30,"51620"
"74","# AB - Central Absentee Precinct (02)",20,22,51,19,"51093"
"75","# EV - Central Absentee Precinct (02)",8,93,127,16,"51093"
"76","# PE - Central Absentee Precinct (02)",0,1,5,0,"51093"
"77","## Provisional (02)",0,0,1,0,"51093"
"78","101 - PAGAN RIVER (02)",10,96,155,33,"51093"
"79","102 - CYPRESS CREEK A (02)",14,90,151,20,"51093"
"80","103 - CYPRESS CREEK B (02)",0,8,11,0,"51093"
"81","201 - BARTLETT (02)",5,59,96,41,"51093"
"82","202 - NIKE PARK A (02)",10,70,195,31,"51093"
"83","203 - NIKE PARK B (02)",0,7,9,2,"51093"
"84","301 - RUSHMERE (02)",5,29,34,2,"51093"
"85","302 - PONS (02)",4,31,43,7,"51093"
"86","303 - BENNS CHURCH (02)",3,12,15,0,"51093"
"87","304 - NEW TOWNE (02)",1,1,13,5,"51093"
"88","401 - BOWLING GREEN (02)",0,62,104,7,"51093"
"89","402 - WINDSOR (02)",4,105,92,11,"51093"
"90","403 - CEDAR GROVE (02)",2,71,71,13,"51093"
"91","501 - WALTERS (02)",1,44,64,2,"51093"
"92","502 - BEAVER DAM (02)",2,36,53,6,"51093"
"93","503 - FIRE TOWER (02)",1,59,86,9,"51093"
"94","504 - BETHANY CHURCH (02)",3,58,62,9,"51093"
"95","Member House of Representatives (02)",1237,11330,23300,5972,"51093"
"96","Member House of Representatives (02) - ISLE OF WIGHT COUNTY",93,954,1438,233,"51093"
"97","# AB - Central Absentee Precinct (02)",0,10,30,2,"51131"
"98","# EV - Central Absentee Precinct (02)",0,11,58,11,"51131"
"99","# PE - Central Absentee Precinct (02)",1,0,1,0,"51131"
"100","## Provisional (02)",0,0,0,0,"51131"
"101","101 - PRECINCT 1-1 (02)",3,36,106,53,"51131"
"102","201 - PRECINCT 2-1 (02)",0,21,35,3,"51131"
"103","301 - PRECINCT 3-1 (02)",1,28,22,1,"51131"
"104","401 - PRECINCT 4-1 (02)",5,44,60,13,"51131"
"105","501 - PRECINCT 5-1 (02)",1,45,80,3,"51131"
"106","Member House of Representatives (02)",1237,11330,23300,5972,"51131"
"107","Member House of Representatives (02) - NORTHAMPTON COUNTY",11,195,392,86,"51131"
"108","# AB - Central Absentee Precinct (02)",1,3,13,6,"51175"
"109","# EV - Central Absentee Precinct (02)",0,20,11,0,"51175"
"110","# PE - Central Absentee Precinct (02)",0,0,0,0,"51175"
"111","## Provisional (02)",0,0,0,0,"51175"
"112","101 - BERLIN (02)",2,23,25,2,"51175"
"113","102 - IVOR (02)",2,42,41,2,"51175"
"114","501 - HUNTERDALE (02)",4,43,43,12,"51175"
"115","502 - FORKS-OF-THE-RIVER (02)",0,8,14,1,"51175"
"116","601 - COURTLAND (02)",4,31,25,10,"51175"
"117","602 - SEDLEY (02)",1,19,27,7,"51175"
"118","701 - BLACKWATER RIVER (02)",1,10,9,0,"51175"
"119","702 - NEWSOMS (02)",2,8,7,0,"51175"
"120","Member House of Representatives (02)",1237,11330,23300,5972,"51175"
"121","Member House of Representatives (02) - SOUTHAMPTON COUNTY",17,207,215,40,"51175"
"122","# AB - Central Absentee Precinct (02)",26,38,99,31,"51800"
"123","# EV - Central Absentee Precinct (02)",16,122,117,40,"51800"
"124","# PE - Central Absentee Precinct (02)",2,2,10,1,"51800"
"125","## Provisional (02)",0,2,2,0,"51800"
"126","101 - BELLEHARBOUR (02)",0,28,37,5,"51800"
"127","102 - DRIVER (02)",9,129,247,97,"51800"
"128","104 - BENNETTS CREEK (02)",5,67,78,32,"51800"
"129","201 - EBENEZER (02)",16,102,195,31,"51800"
"130","202 - CHUCKATUCK (02)",12,79,98,30,"51800"
"131","203 - KINGS FORK (02)",3,39,65,59,"51800"
"132","204 - HILLPOINT (02)",3,32,45,5,"51800"
"133","301 - WHITE MARSH (02)",2,23,18,5,"51800"
"134","302 - JOHN F KENNEDY (02)",3,20,13,4,"51800"
