"state","county_name","fips"
"Virginia","accomack","51001"
"Virginia","albemarle","51003"
"Virginia","alleghany","51005"
"Virginia","amelia","51007"
"Virginia","amherst","51009"
"Virginia","appomattox","51011"
"Virginia","arlington","51013"
"Virginia","augusta","51015"
"Virginia","bath","51017"
"Virginia","bedford","51019"
"Virginia","bland","51021"
"Virginia","botetourt","51023"
"Virginia","brunswick","51025"
"Virginia","buchanan","51027"
"Virginia","buckingham","51029"
"Virginia","campbell","51031"
"Virginia","caroline","51033"
"Virginia","carroll","51035"
"Virginia","charles city","51036"
"Virginia","charlotte","51037"
"Virginia","chesterfield","51041"
"Virginia","clarke","51043"
"Virginia","craig","51045"
"Virginia","culpeper","51047"
"Virginia","cumberland","51049"
"Virginia","dickenson","51051"
"Virginia","dinwiddie","51053"
"Virginia","essex","51057"
"Virginia","fairfax","51059"
"Virginia","fauquier","51061"
"Virginia","floyd","51063"
"Virginia","fluvanna","51065"
"Virginia","franklin","51067"
"Virginia","frederick","51069"
"Virginia","giles","51071"
"Virginia","gloucester","51073"
"Virginia","goochland","51075"
"Virginia","grayson","51077"
"Virginia","greene","51079"
"Virginia","greensville","51081"
"Virginia","halifax","51083"
"Virginia","hanover","51085"
"Virginia","henrico","51087"
"Virginia","henry","51089"
"Virginia","highland","51091"
"Virginia","isle of wight","51093"
"Virginia","james city","51095"
"Virginia","king and queen","51097"
"Virginia","king george","51099"
"Virginia","king william","51101"
"Virginia","lancaster","51103"
"Virginia","lee","51105"
"Virginia","loudoun","51107"
"Virginia","louisa","51109"
"Virginia","lunenburg","51111"
"Virginia","madison","51113"
"Virginia","mathews","51115"
"Virginia","mecklenburg","51117"
"Virginia","middlesex","51119"
"Virginia","montgomery","51121"
"Virginia","nelson","51125"
"Virginia","new kent","51127"
"Virginia","northampton","51131"
"Virginia","northumberland","51133"
"Virginia","nottoway","51135"
"Virginia","orange","51137"
"Virginia","page","51139"
"Virginia","patrick","51141"
"Virginia","pittsylvania","51143"
"Virginia","powhatan","51145"
"Virginia","prince edward","51147"
"Virginia","prince george","51149"
"Virginia","prince william","51153"
"Virginia","pulaski","51155"
"Virginia","rappahannock","51157"
"Virginia","richmond","51159"
"Virginia","roanoke","51161"
"Virginia","rockbridge","51163"
"Virginia","rockingham","51165"
"Virginia","russell","51167"
"Virginia","scott","51169"
"Virginia","shenandoah","51171"
"Virginia","smyth","51173"
"Virginia","southampton","51175"
"Virginia","spotsylvania","51177"
"Virginia","stafford","51179"
"Virginia","surry","51181"
"Virginia","sussex","51183"
"Virginia","tazewell","51185"
"Virginia","warren","51187"
"Virginia","washington","51191"
"Virginia","westmoreland","51193"
"Virginia","wise","51195"
"Virginia","wythe","51197"
"Virginia","york","51199"
"Virginia","alexandria city","51510"
"Virginia","bedford city","51515"
"Virginia","bristol city","51520"
"Virginia","buena vista city","51530"
"Virginia","charlottesville city","51540"
"Virginia","chesapeake city","51550"
"Virginia","clifton forge city","51560"
"Virginia","colonial heights city","51570"
"Virginia","covington city","51580"
"Virginia","danville city","51590"
"Virginia","emporia city","51595"
"Virginia","fairfax city","51600"
"Virginia","falls church city","51610"
"Virginia","franklin city","51620"
"Virginia","fredericksburg city","51630"
"Virginia","galax city","51640"
"Virginia","hampton city","51650"
"Virginia","harrisonburg city","51660"
"Virginia","hopewell city","51670"
"Virginia","lexington city","51678"
"Virginia","lynchburg city","51680"
"Virginia","manassas city","51683"
"Virginia","manassas park city","51685"
"Virginia","martinsville city","51690"
"Virginia","newport news city","51700"
"Virginia","norfolk city","51710"
"Virginia","norton city","51720"
"Virginia","petersburg city","51730"
"Virginia","poquoson city","51735"
"Virginia","portsmouth city","51740"
"Virginia","radford","51750"
"Virginia","richmond city","51760"
"Virginia","roanoke city","51770"
"Virginia","salem city","51775"
"Virginia","south boston city","51780"
"Virginia","staunton city","51790"
"Virginia","suffolk city","51800"
"Virginia","virginia beach city","51810"
"Virginia","waynesboro city","51820"
"Virginia","williamsburg city","51830"
"Virginia","winchester city","51840"
