"pcode","winner_2022","total_2022","winner_votes_2022","winner_percent_2022"
"51003602","derrick_martin_anderson",8,2,0.25
"51033101","bryce_e_reeves",204,37,0.181372549019608
"51033102","bryce_e_reeves",114,16,0.140350877192982
"51033201","yesli_isabel_vega",47,19,0.404255319148936
"51033202","bryce_e_reeves",101,26,0.257425742574257
"51033301","yesli_isabel_vega",56,16,0.285714285714286
"51033302","bryce_e_reeves",117,23,0.196581196581197
"51033303","bryce_e_reeves",16,3,0.1875
"51033401","yesli_isabel_vega",88,23,0.261363636363636
"51033402","yesli_isabel_vega",38,15,0.394736842105263
"51033501","yesli_isabel_vega",56,17,0.303571428571429
"51033502","bryce_e_reeves",73,20,0.273972602739726
"51033601","yesli_isabel_vega",111,39,0.351351351351351
"51033602","yesli_isabel_vega",73,29,0.397260273972603
"51047101","yesli_isabel_vega",213,84,0.394366197183099
"51047201","yesli_isabel_vega",130,57,0.438461538461538
"51047302","yesli_isabel_vega",160,60,0.375
"51047303","derrick_martin_anderson",193,52,0.269430051813472
"51047304","bryce_e_reeves",76,17,0.223684210526316
"51047401","derrick_martin_anderson",240,79,0.329166666666667
"51047402","derrick_martin_anderson",355,111,0.312676056338028
"51047501","yesli_isabel_vega",263,116,0.44106463878327
"51047502","derrick_martin_anderson",278,91,0.327338129496403
"51047601","yesli_isabel_vega",50,17,0.34
"51047602","yesli_isabel_vega",228,72,0.315789473684211
"51047603","derrick_martin_anderson",59,15,0.254237288135593
"51047702","yesli_isabel_vega",323,120,0.371517027863777
"51047703","bryce_e_reeves",141,38,0.269503546099291
"51047704","bryce_e_reeves",97,33,0.34020618556701
"51079101","yesli_isabel_vega",88,46,0.522727272727273
"51079102","yesli_isabel_vega",118,45,0.38135593220339
"51079201","yesli_isabel_vega",187,69,0.368983957219251
"51079301","yesli_isabel_vega",197,73,0.370558375634518
"51079302","bryce_e_reeves",8,1,0.125
"51079401","yesli_isabel_vega",204,61,0.299019607843137
"51099101","derrick_martin_anderson",143,35,0.244755244755245
"51099102","crystal_l_vanuch",167,43,0.25748502994012
"51099201","derrick_martin_anderson",349,70,0.200573065902579
"51099301","derrick_martin_anderson",258,64,0.248062015503876
"51099401","yesli_isabel_vega",298,90,0.302013422818792
"51113001","derrick_martin_anderson",52,16,0.307692307692308
"51113002","bryce_e_reeves",111,24,0.216216216216216
"51113003","yesli_isabel_vega",81,23,0.283950617283951
"51113004","yesli_isabel_vega",14,5,0.357142857142857
"51113005","derrick_martin_anderson",134,42,0.313432835820896
"51113006","derrick_martin_anderson",93,13,0.139784946236559
"51113007","yesli_isabel_vega",162,52,0.320987654320988
"51113008","derrick_martin_anderson",60,18,0.3
"51113009","yesli_isabel_vega",58,15,0.258620689655172
"51137101","yesli_isabel_vega",215,86,0.4
"51137102","yesli_isabel_vega",155,55,0.354838709677419
"51137103","yesli_isabel_vega",68,22,0.323529411764706
"51137201","bryce_e_reeves",190,52,0.273684210526316
