"pcode","winner_2017","total_2017","winner_votes_2017","winner_percent_2017"
"51001101","edward_walter_gillespie",194,94,0.484536082474227
"51001201","corey_alan_stewart",113,40,0.353982300884956
"51001202","edward_walter_gillespie",108,48,0.444444444444444
"51001301","corey_alan_stewart",88,35,0.397727272727273
"51001401","corey_alan_stewart",64,26,0.40625
"51001402","edward_walter_gillespie",77,33,0.428571428571429
"51001403","corey_alan_stewart",32,11,0.34375
"51001501","edward_walter_gillespie",49,25,0.510204081632653
"51001502","corey_alan_stewart",24,6,0.25
"51001601","edward_walter_gillespie",130,64,0.492307692307692
"51001602","corey_alan_stewart",105,31,0.295238095238095
"51001701","corey_alan_stewart",194,76,0.391752577319588
"51001801","edward_walter_gillespie",90,40,0.444444444444444
"51001802","corey_alan_stewart",65,25,0.384615384615385
"51001803","corey_alan_stewart",96,37,0.385416666666667
"51001901","edward_walter_gillespie",172,95,0.552325581395349
"51003101","edward_walter_gillespie",196,87,0.443877551020408
"51003103","edward_walter_gillespie",60,35,0.583333333333333
"51003104","corey_alan_stewart",86,30,0.348837209302326
"51003105","edward_walter_gillespie",150,74,0.493333333333333
"51003106","corey_alan_stewart",185,68,0.367567567567568
"51003201","edward_walter_gillespie",141,74,0.524822695035461
"51003202","edward_walter_gillespie",39,26,0.666666666666667
"51003203","edward_walter_gillespie",73,32,0.438356164383562
"51003204","edward_walter_gillespie",92,46,0.5
"51003301","edward_walter_gillespie",229,109,0.475982532751092
"51003302","corey_alan_stewart",153,46,0.300653594771242
"51003304","edward_walter_gillespie",76,52,0.684210526315789
"51003305","corey_alan_stewart",106,39,0.367924528301887
"51003306","corey_alan_stewart",76,16,0.210526315789474
"51003307","frank_w_wagner",31,10,0.32258064516129
"51003401","corey_alan_stewart",117,42,0.358974358974359
"51003402","corey_alan_stewart",116,39,0.336206896551724
"51003405","corey_alan_stewart",139,50,0.359712230215827
"51003406","corey_alan_stewart",280,110,0.392857142857143
"51003501","corey_alan_stewart",94,27,0.287234042553192
"51003502","corey_alan_stewart",137,53,0.386861313868613
"51003503","corey_alan_stewart",146,54,0.36986301369863
"51003504","edward_walter_gillespie",221,113,0.51131221719457
"51003506","corey_alan_stewart",222,80,0.36036036036036
"51003601","corey_alan_stewart",221,88,0.398190045248869
"51003602","edward_walter_gillespie",79,43,0.544303797468354
"51003603","corey_alan_stewart",217,87,0.400921658986175
"51003604","edward_walter_gillespie",245,122,0.497959183673469
"51005101","corey_alan_stewart",49,21,0.428571428571429
"51005103","edward_walter_gillespie",29,19,0.655172413793103
"51005201","edward_walter_gillespie",30,15,0.5
"51005202","corey_alan_stewart",44,13,0.295454545454545
"51005301","corey_alan_stewart",35,15,0.428571428571429
"51005302","corey_alan_stewart",59,27,0.457627118644068
"51005401","edward_walter_gillespie",37,19,0.513513513513513
"51005402","corey_alan_stewart",49,15,0.306122448979592
"51005501","edward_walter_gillespie",14,7,0.5
"51005502","edward_walter_gillespie",51,24,0.470588235294118
"51005601","edward_walter_gillespie",64,37,0.578125
"51005701","corey_alan_stewart",31,6,0.193548387096774
"51007101","corey_alan_stewart",124,52,0.419354838709677
"51007201","corey_alan_stewart",173,72,0.416184971098266
"51007301","corey_alan_stewart",164,69,0.420731707317073
"51007401","corey_alan_stewart",162,60,0.37037037037037
"51007501","corey_alan_stewart",171,65,0.380116959064327
"51009101","corey_alan_stewart",75,29,0.386666666666667
"51009102","corey_alan_stewart",148,47,0.317567567567568
"51009103","corey_alan_stewart",87,26,0.298850574712644
"51009201","corey_alan_stewart",269,91,0.338289962825279
"51009202","corey_alan_stewart",124,40,0.32258064516129
"51009301","corey_alan_stewart",124,47,0.379032258064516
"51009302","corey_alan_stewart",303,113,0.372937293729373
"51009303","edward_walter_gillespie",79,39,0.493670886075949
"51009401","corey_alan_stewart",298,121,0.406040268456376
"51009402","corey_alan_stewart",70,26,0.371428571428571
"51009501","corey_alan_stewart",230,87,0.378260869565217
"51011101","corey_alan_stewart",101,36,0.356435643564356
"51011102","corey_alan_stewart",142,48,0.338028169014085
"51011201","corey_alan_stewart",50,19,0.38
"51011202","corey_alan_stewart",192,64,0.333333333333333
"51011301","corey_alan_stewart",113,50,0.442477876106195
"51011302","corey_alan_stewart",146,47,0.321917808219178
"51011401","corey_alan_stewart",167,71,0.425149700598802
"51011501","corey_alan_stewart",130,53,0.407692307692308
"51011502","corey_alan_stewart",63,22,0.349206349206349
"51013001","edward_walter_gillespie",61,35,0.573770491803279
"51013002","edward_walter_gillespie",76,51,0.671052631578947
"51013003","edward_walter_gillespie",126,69,0.547619047619048
"51013004","edward_walter_gillespie",97,63,0.649484536082474
"51013005","edward_walter_gillespie",81,47,0.580246913580247
"51013006","edward_walter_gillespie",94,55,0.585106382978723
"51013007","edward_walter_gillespie",102,61,0.598039215686274
"51013008","edward_walter_gillespie",142,90,0.633802816901408
"51013009","edward_walter_gillespie",85,46,0.541176470588235
"51013010","edward_walter_gillespie",113,70,0.619469026548673
"51013011","edward_walter_gillespie",101,50,0.495049504950495
"51013012","edward_walter_gillespie",142,92,0.647887323943662
"51013013","corey_alan_stewart",47,19,0.404255319148936
"51013014","edward_walter_gillespie",59,35,0.593220338983051
"51013015","edward_walter_gillespie",58,33,0.568965517241379
"51013016","edward_walter_gillespie",91,60,0.659340659340659
"51013017","edward_walter_gillespie",130,77,0.592307692307692
"51013018","edward_walter_gillespie",120,77,0.641666666666667
"51013019","edward_walter_gillespie",77,53,0.688311688311688
"51013020","edward_walter_gillespie",171,119,0.695906432748538
"51013021","edward_walter_gillespie",87,59,0.67816091954023
"51013022","edward_walter_gillespie",118,72,0.610169491525424
"51013023","edward_walter_gillespie",87,41,0.471264367816092
"51013024","edward_walter_gillespie",111,57,0.513513513513513
"51013025","edward_walter_gillespie",103,65,0.631067961165049
"51013026","edward_walter_gillespie",76,29,0.381578947368421
"51013027","edward_walter_gillespie",104,61,0.586538461538462
"51013028","edward_walter_gillespie",83,51,0.614457831325301
"51013029","edward_walter_gillespie",94,64,0.680851063829787
"51013030","edward_walter_gillespie",54,28,0.518518518518518
"51013031","edward_walter_gillespie",132,80,0.606060606060606
"51013032","edward_walter_gillespie",64,34,0.53125
"51013033","edward_walter_gillespie",157,88,0.560509554140127
"51013034","edward_walter_gillespie",108,63,0.583333333333333
"51013035","edward_walter_gillespie",231,157,0.67965367965368
"51013036","edward_walter_gillespie",131,85,0.648854961832061
"51013037","edward_walter_gillespie",123,70,0.569105691056911
"51013038","edward_walter_gillespie",54,31,0.574074074074074
"51013039","edward_walter_gillespie",53,28,0.528301886792453
"51013040","edward_walter_gillespie",98,60,0.612244897959184
"51013041","edward_walter_gillespie",71,57,0.802816901408451
"51013042","edward_walter_gillespie",61,40,0.655737704918033
"51013043","corey_alan_stewart",26,8,0.307692307692308
"51013044","edward_walter_gillespie",47,29,0.617021276595745
"51013045","edward_walter_gillespie",59,36,0.610169491525424
"51013046","edward_walter_gillespie",118,73,0.61864406779661
"51013047","edward_walter_gillespie",46,28,0.608695652173913
"51013048","edward_walter_gillespie",55,33,0.6
"51013049","edward_walter_gillespie",48,33,0.6875
"51013050","edward_walter_gillespie",77,48,0.623376623376623
"51013051","edward_walter_gillespie",39,23,0.58974358974359
"51013052","edward_walter_gillespie",60,37,0.616666666666667
"51013053","edward_walter_gillespie",78,48,0.615384615384615
"51013054","edward_walter_gillespie",44,35,0.795454545454545
"51015101","corey_alan_stewart",124,42,0.338709677419355
"51015102","corey_alan_stewart",106,36,0.339622641509434
"51015103","corey_alan_stewart",213,69,0.323943661971831
"51015201","corey_alan_stewart",187,53,0.283422459893048
"51015202","corey_alan_stewart",161,51,0.316770186335404
"51015203","corey_alan_stewart",201,89,0.442786069651741
"51015301","corey_alan_stewart",350,125,0.357142857142857
"51015302","corey_alan_stewart",105,35,0.333333333333333
"51015303","corey_alan_stewart",161,53,0.329192546583851
"51015304","corey_alan_stewart",130,41,0.315384615384615
"51015401","corey_alan_stewart",113,24,0.212389380530973
"51015402","corey_alan_stewart",148,47,0.317567567567568
"51015403","corey_alan_stewart",81,26,0.320987654320988
"51015404","corey_alan_stewart",57,15,0.263157894736842
"51015405","corey_alan_stewart",175,56,0.32
"51015501","corey_alan_stewart",179,60,0.335195530726257
"51015502","corey_alan_stewart",118,32,0.271186440677966
"51015503","corey_alan_stewart",121,41,0.338842975206612
"51015504","corey_alan_stewart",254,109,0.429133858267717
"51015601","corey_alan_stewart",166,56,0.337349397590361
"51015602","corey_alan_stewart",371,127,0.342318059299191
"51015603","corey_alan_stewart",252,102,0.404761904761905
"51015801","corey_alan_stewart",199,63,0.316582914572864
"51015802","corey_alan_stewart",348,154,0.442528735632184
"51015803","corey_alan_stewart",200,86,0.43
"51017101","edward_walter_gillespie",38,22,0.578947368421053
"51017102","edward_walter_gillespie",22,12,0.545454545454545
"51017201","edward_walter_gillespie",37,21,0.567567567567568
"51017301","corey_alan_stewart",39,17,0.435897435897436
"51017302","edward_walter_gillespie",8,5,0.625
"51017401","edward_walter_gillespie",47,22,0.468085106382979
"51017501","edward_walter_gillespie",47,23,0.48936170212766
"51019101","corey_alan_stewart",179,68,0.379888268156425
"51019102","corey_alan_stewart",100,41,0.41
"51019103","corey_alan_stewart",131,45,0.343511450381679
"51019104","corey_alan_stewart",136,50,0.367647058823529
"51019201","corey_alan_stewart",89,23,0.258426966292135
"51019202","corey_alan_stewart",103,37,0.359223300970874
"51019203","corey_alan_stewart",229,93,0.406113537117904
"51019204","corey_alan_stewart",62,13,0.209677419354839
"51019205","edward_walter_gillespie",226,120,0.530973451327434
"51019301","edward_walter_gillespie",659,315,0.477996965098634
"51019302","edward_walter_gillespie",238,111,0.466386554621849
"51019303","corey_alan_stewart",179,71,0.396648044692737
"51019304","corey_alan_stewart",151,59,0.390728476821192
"51019305","corey_alan_stewart",132,57,0.431818181818182
"51019401","edward_walter_gillespie",471,250,0.530785562632696
"51019402","corey_alan_stewart",214,83,0.38785046728972
"51019403","corey_alan_stewart",532,242,0.454887218045113
"51019404","edward_walter_gillespie",479,241,0.503131524008351
"51019502","edward_walter_gillespie",47,23,0.48936170212766
"51019503","corey_alan_stewart",86,30,0.348837209302326
"51019504","corey_alan_stewart",180,57,0.316666666666667
"51019505","corey_alan_stewart",269,110,0.408921933085502
"51019506","corey_alan_stewart",353,135,0.382436260623229
"51019601","corey_alan_stewart",154,45,0.292207792207792
"51019602","corey_alan_stewart",146,40,0.273972602739726
"51019603","corey_alan_stewart",38,13,0.342105263157895
"51019604","corey_alan_stewart",180,63,0.35
"51019701","corey_alan_stewart",295,91,0.308474576271186
"51019702","corey_alan_stewart",163,73,0.447852760736196
"51019703","corey_alan_stewart",101,25,0.247524752475248
"51019704","corey_alan_stewart",190,61,0.321052631578947
"51021101","corey_alan_stewart",42,10,0.238095238095238
"51021102","corey_alan_stewart",54,14,0.259259259259259
"51021201","edward_walter_gillespie",12,9,0.75
"51021202","edward_walter_gillespie",90,40,0.444444444444444
"51021301","edward_walter_gillespie",33,20,0.606060606060606
"51021302","edward_walter_gillespie",17,12,0.705882352941177
"51021401","corey_alan_stewart",101,35,0.346534653465347
"51023101","edward_walter_gillespie",194,100,0.515463917525773
"51023102","corey_alan_stewart",291,106,0.36426116838488
"51023201","corey_alan_stewart",229,88,0.384279475982533
"51023202","corey_alan_stewart",223,90,0.403587443946188
"51023301","corey_alan_stewart",125,46,0.368
"51023302","edward_walter_gillespie",183,87,0.475409836065574
"51023403","corey_alan_stewart",101,38,0.376237623762376
"51023406","corey_alan_stewart",236,97,0.411016949152542
"51023501","corey_alan_stewart",120,44,0.366666666666667
"51023502","corey_alan_stewart",292,117,0.400684931506849
"51025101","edward_walter_gillespie",45,16,0.355555555555556
"51025102","edward_walter_gillespie",44,26,0.590909090909091
"51025103","corey_alan_stewart",87,34,0.390804597701149
"51025201","corey_alan_stewart",13,5,0.384615384615385
"51025202","corey_alan_stewart",33,14,0.424242424242424
"51025203","edward_walter_gillespie",20,13,0.65
"51025301","corey_alan_stewart",18,6,0.333333333333333
"51025302","corey_alan_stewart",55,24,0.436363636363636
"51025303","corey_alan_stewart",24,9,0.375
"51025304","frank_w_wagner",15,5,0.333333333333333
"51025401","corey_alan_stewart",56,23,0.410714285714286
"51025402","edward_walter_gillespie",11,8,0.727272727272727
"51025501","edward_walter_gillespie",41,17,0.414634146341463
"51027102","corey_alan_stewart",16,6,0.375
"51027103","edward_walter_gillespie",53,30,0.566037735849057
"51027201","edward_walter_gillespie",3,2,0.666666666666667
"51027202","corey_alan_stewart",32,13,0.40625
"51027203","edward_walter_gillespie",16,10,0.625
"51027301","edward_walter_gillespie",24,19,0.791666666666667
"51027302","corey_alan_stewart",25,7,0.28
"51027403","edward_walter_gillespie",33,19,0.575757575757576
"51027404","corey_alan_stewart",2,0,0
"51027501","edward_walter_gillespie",12,6,0.5
"51027502","corey_alan_stewart",6,2,0.333333333333333
"51027503","corey_alan_stewart",12,4,0.333333333333333
"51027601","corey_alan_stewart",11,5,0.454545454545455
"51027602","edward_walter_gillespie",20,12,0.6
"51027603","corey_alan_stewart",14,3,0.214285714285714
"51027701","corey_alan_stewart",33,8,0.242424242424242
"51027702","corey_alan_stewart",21,6,0.285714285714286
"51029101","edward_walter_gillespie",122,61,0.5
"51029102","corey_alan_stewart",34,3,0.0882352941176471
"51029201","edward_walter_gillespie",71,41,0.577464788732394
"51029301","edward_walter_gillespie",87,42,0.482758620689655
"51029302","edward_walter_gillespie",98,53,0.540816326530612
"51029401","corey_alan_stewart",127,53,0.417322834645669
"51029501","corey_alan_stewart",63,27,0.428571428571429
