"pcode","winner_2016","total_2016","winner_votes_2016","winner_percent_2016"
"51001101","donald_j_trump",599,328,0.547579298831386
"51001201","donald_j_trump",266,139,0.522556390977444
"51001202","donald_j_trump",378,192,0.507936507936508
"51001301","donald_j_trump",267,146,0.546816479400749
"51001401","donald_j_trump",161,85,0.527950310559006
"51001402","donald_j_trump",258,125,0.484496124031008
"51001403","donald_j_trump",84,45,0.535714285714286
"51001501","donald_j_trump",121,61,0.504132231404959
"51001502","donald_j_trump",68,24,0.352941176470588
"51001601","donald_j_trump",336,169,0.50297619047619
"51001602","donald_j_trump",157,76,0.484076433121019
"51001701","donald_j_trump",433,154,0.355658198614319
"51001702","donald_j_trump",180,78,0.433333333333333
"51001801","donald_j_trump",222,87,0.391891891891892
"51001802","donald_j_trump",184,89,0.483695652173913
"51001803","donald_j_trump",205,106,0.517073170731707
"51001901","donald_j_trump",330,139,0.421212121212121
"51003101","marco_rubio",620,126,0.203225806451613
"51003103","marco_rubio",168,43,0.255952380952381
"51003104","marco_rubio",329,99,0.300911854103343
"51003105","marco_rubio",594,123,0.207070707070707
"51003106","marco_rubio",688,179,0.260174418604651
"51003201","marco_rubio",489,107,0.21881390593047
"51003202","marco_rubio",341,29,0.0850439882697947
"51003203","marco_rubio",315,72,0.228571428571429
"51003204","marco_rubio",296,63,0.212837837837838
"51003301","marco_rubio",937,175,0.186766275346852
"51003302","marco_rubio",536,146,0.272388059701493
"51003304","marco_rubio",250,48,0.192
"51003305","marco_rubio",414,88,0.21256038647343
"51003306","donald_j_trump",194,74,0.381443298969072
"51003307","marco_rubio",152,32,0.210526315789474
"51003401","donald_j_trump",329,141,0.428571428571429
"51003402","donald_j_trump",260,127,0.488461538461538
"51003405","marco_rubio",689,151,0.219158200290276
"51003406","marco_rubio",824,246,0.298543689320388
"51003501","donald_j_trump",296,104,0.351351351351351
"51003502","marco_rubio",382,100,0.261780104712042
"51003503","marco_rubio",614,130,0.211726384364821
"51003504","marco_rubio",799,180,0.225281602002503
"51003506","marco_rubio",765,202,0.264052287581699
"51003601","marco_rubio",874,220,0.251716247139588
"51003602","marco_rubio",301,93,0.308970099667774
"51003603","marco_rubio",843,227,0.269276393831554
"51003604","marco_rubio",1062,245,0.230696798493409
"51005101","donald_j_trump",161,90,0.559006211180124
"51005103","donald_j_trump",77,42,0.545454545454545
"51005201","donald_j_trump",91,45,0.494505494505495
"51005202","donald_j_trump",144,63,0.4375
"51005301","donald_j_trump",106,70,0.660377358490566
"51005302","donald_j_trump",165,70,0.424242424242424
"51005401","donald_j_trump",100,49,0.49
"51005402","donald_j_trump",168,98,0.583333333333333
"51005501","donald_j_trump",51,18,0.352941176470588
"51005502","donald_j_trump",193,74,0.383419689119171
"51005601","marco_rubio",190,64,0.336842105263158
"51005701","donald_j_trump",110,49,0.445454545454545
"51007101","donald_j_trump",316,158,0.5
"51007201","donald_j_trump",439,195,0.444191343963554
"51007301","donald_j_trump",441,224,0.507936507936508
"51007401","donald_j_trump",510,240,0.470588235294118
"51007501","donald_j_trump",421,211,0.501187648456057
"51009101","donald_j_trump",176,82,0.465909090909091
"51009102","donald_j_trump",361,142,0.393351800554017
"51009103","donald_j_trump",222,104,0.468468468468468
"51009201","donald_j_trump",671,245,0.365126676602086
"51009202","donald_j_trump",269,115,0.427509293680297
"51009301","donald_j_trump",299,131,0.438127090301003
"51009302","donald_j_trump",766,282,0.368146214099217
"51009303","donald_j_trump",156,56,0.358974358974359
"51009401","donald_j_trump",718,302,0.420612813370474
"51009402","donald_j_trump",166,74,0.44578313253012
"51009501","donald_j_trump",608,213,0.350328947368421
"51011101","donald_j_trump",204,91,0.446078431372549
"51011102","donald_j_trump",304,134,0.440789473684211
"51011201","donald_j_trump",100,48,0.48
"51011202","donald_j_trump",405,193,0.476543209876543
"51011301","donald_j_trump",241,111,0.460580912863071
"51011302","donald_j_trump",298,116,0.389261744966443
"51011401","donald_j_trump",396,150,0.378787878787879
"51011501","donald_j_trump",308,129,0.418831168831169
"51011502","donald_j_trump",128,46,0.359375
"51013001","marco_rubio",197,47,0.238578680203046
"51013002","marco_rubio",441,68,0.154195011337868
"51013003","marco_rubio",392,75,0.191326530612245
"51013004","marco_rubio",414,69,0.166666666666667
"51013005","marco_rubio",341,54,0.158357771260997
"51013006","marco_rubio",357,80,0.224089635854342
"51013007","marco_rubio",465,73,0.156989247311828
"51013008","marco_rubio",517,97,0.187620889748549
"51013009","marco_rubio",428,90,0.210280373831776
"51013010","marco_rubio",472,82,0.173728813559322
"51013011","marco_rubio",375,60,0.16
"51013012","marco_rubio",568,70,0.123239436619718
"51013013","marco_rubio",246,66,0.268292682926829
"51013014","marco_rubio",336,41,0.12202380952381
"51013015","marco_rubio",433,67,0.15473441108545
"51013016","marco_rubio",479,64,0.133611691022964
"51013017","marco_rubio",532,88,0.165413533834586
"51013018","marco_rubio",611,93,0.152209492635025
"51013019","marco_rubio",430,87,0.202325581395349
"51013020","marco_rubio",625,100,0.16
"51013021","marco_rubio",623,108,0.173354735152488
"51013022","marco_rubio",507,52,0.102564102564103
"51013023","marco_rubio",438,83,0.189497716894977
"51013024","marco_rubio",520,83,0.159615384615385
"51013025","marco_rubio",333,70,0.21021021021021
"51013026","marco_rubio",414,65,0.157004830917874
"51013027","marco_rubio",399,77,0.192982456140351
"51013028","marco_rubio",343,64,0.186588921282799
"51013029","marco_rubio",468,60,0.128205128205128
"51013030","marco_rubio",240,57,0.2375
"51013031","marco_rubio",492,72,0.146341463414634
"51013032","marco_rubio",232,51,0.219827586206897
"51013033","marco_rubio",626,95,0.151757188498403
"51013034","marco_rubio",477,61,0.127882599580713
"51013035","marco_rubio",742,119,0.160377358490566
"51013036","marco_rubio",535,97,0.181308411214953
"51013037","marco_rubio",531,88,0.165725047080979
"51013038","marco_rubio",204,40,0.196078431372549
"51013039","marco_rubio",265,49,0.184905660377358
"51013040","marco_rubio",519,88,0.169556840077071
"51013041","marco_rubio",432,66,0.152777777777778
"51013042","marco_rubio",307,41,0.133550488599349
"51013043","marco_rubio",100,27,0.27
"51013044","marco_rubio",266,38,0.142857142857143
"51013045","marco_rubio",297,36,0.121212121212121
"51013046","marco_rubio",526,76,0.144486692015209
"51013047","marco_rubio",249,49,0.196787148594378
"51013048","marco_rubio",414,61,0.147342995169082
"51013049","marco_rubio",268,37,0.138059701492537
"51013050","marco_rubio",378,82,0.216931216931217
"51013051","marco_rubio",125,22,0.176
"51013052","marco_rubio",267,46,0.172284644194757
"51015101","donald_j_trump",357,122,0.341736694677871
"51015102","donald_j_trump",371,148,0.398921832884097
"51015103","donald_j_trump",655,225,0.343511450381679
"51015201","donald_j_trump",690,307,0.444927536231884
"51015202","donald_j_trump",466,209,0.448497854077253
"51015203","donald_j_trump",727,229,0.314993122420908
"51015301","donald_j_trump",1134,394,0.347442680776014
"51015302","donald_j_trump",296,117,0.39527027027027
"51015303","donald_j_trump",397,166,0.418136020151133
"51015304","donald_j_trump",381,149,0.391076115485564
"51015401","donald_j_trump",372,152,0.408602150537634
"51015402","donald_j_trump",417,164,0.393285371702638
"51015403","donald_j_trump",217,105,0.483870967741935
"51015404","donald_j_trump",132,58,0.439393939393939
"51015405","donald_j_trump",518,173,0.333976833976834
"51015501","donald_j_trump",615,232,0.377235772357724
"51015502","donald_j_trump",351,113,0.321937321937322
"51015503","donald_j_trump",326,134,0.411042944785276
"51015504","donald_j_trump",691,256,0.370477568740955
"51015601","donald_j_trump",445,158,0.355056179775281
"51015602","donald_j_trump",1032,365,0.353682170542636
"51015603","donald_j_trump",706,253,0.358356940509915
"51015801","donald_j_trump",501,219,0.437125748502994
"51015802","donald_j_trump",1036,373,0.36003861003861
"51015803","donald_j_trump",678,236,0.348082595870207
"51017101","donald_j_trump",117,59,0.504273504273504
"51017102","donald_j_trump",35,17,0.485714285714286
"51017201","donald_j_trump",72,34,0.472222222222222
"51017301","donald_j_trump",103,50,0.485436893203884
"51017302","donald_j_trump",25,19,0.76
"51017401","donald_j_trump",119,56,0.470588235294118
"51017501","donald_j_trump",121,57,0.471074380165289
"51019101","donald_j_trump",526,250,0.475285171102662
"51019102","donald_j_trump",256,115,0.44921875
"51019103","donald_j_trump",380,194,0.510526315789474
"51019104","donald_j_trump",329,159,0.483282674772036
