"pcode","winner_2018","total_2018","winner_votes_2018","winner_percent_2018"
"51001101","nicholas_jason_freitas",179,79,0.441340782122905
"51001201","nicholas_jason_freitas",99,45,0.454545454545455
"51001202","nicholas_jason_freitas",136,59,0.433823529411765
"51001301","nicholas_jason_freitas",82,30,0.365853658536585
"51001401","corey_alan_stewart",51,27,0.529411764705882
"51001402","nicholas_jason_freitas",106,33,0.311320754716981
"51001403","corey_alan_stewart",34,19,0.558823529411765
"51001501","nicholas_jason_freitas",42,8,0.19047619047619
"51001502","nicholas_jason_freitas",17,4,0.235294117647059
"51001601","nicholas_jason_freitas",126,51,0.404761904761905
"51001602","corey_alan_stewart",82,51,0.621951219512195
"51001701","nicholas_jason_freitas",205,81,0.395121951219512
"51001801","nicholas_jason_freitas",90,36,0.4
"51001802","nicholas_jason_freitas",57,17,0.298245614035088
"51001803","nicholas_jason_freitas",94,40,0.425531914893617
"51001901","nicholas_jason_freitas",175,75,0.428571428571429
"51003101","nicholas_jason_freitas",170,50,0.294117647058824
"51003103","corey_alan_stewart",49,30,0.612244897959184
"51003104","corey_alan_stewart",76,33,0.434210526315789
"51003105","nicholas_jason_freitas",133,43,0.323308270676692
"51003106","nicholas_jason_freitas",176,52,0.295454545454545
"51003201","nicholas_jason_freitas",218,88,0.403669724770642
"51003202","nicholas_jason_freitas",40,7,0.175
"51003203","nicholas_jason_freitas",57,15,0.263157894736842
"51003301","nicholas_jason_freitas",204,67,0.32843137254902
"51003302","corey_alan_stewart",126,63,0.5
"51003304","nicholas_jason_freitas",55,22,0.4
"51003305","nicholas_jason_freitas",83,29,0.349397590361446
"51003306","corey_alan_stewart",90,46,0.511111111111111
"51003307","corey_alan_stewart",34,18,0.529411764705882
"51003401","corey_alan_stewart",79,53,0.670886075949367
"51003402","corey_alan_stewart",83,46,0.55421686746988
"51003405","nicholas_jason_freitas",103,36,0.349514563106796
"51003406","corey_alan_stewart",238,104,0.436974789915966
"51003407","nicholas_jason_freitas",47,13,0.276595744680851
"51003501","nicholas_jason_freitas",81,33,0.407407407407407
"51003502","nicholas_jason_freitas",145,46,0.317241379310345
"51003503","corey_alan_stewart",120,53,0.441666666666667
"51003504","nicholas_jason_freitas",87,37,0.425287356321839
"51003506","nicholas_jason_freitas",202,85,0.420792079207921
"51003507","nicholas_jason_freitas",124,50,0.403225806451613
"51003601","corey_alan_stewart",141,64,0.453900709219858
"51003602","corey_alan_stewart",78,40,0.512820512820513
"51003603","nicholas_jason_freitas",211,80,0.37914691943128
"51003604","corey_alan_stewart",107,50,0.467289719626168
"51003606","nicholas_jason_freitas",135,58,0.42962962962963
"51005101","corey_alan_stewart",26,20,0.769230769230769
"51005103","corey_alan_stewart",18,9,0.5
"51005201","nicholas_jason_freitas",16,6,0.375
"51005202","corey_alan_stewart",24,14,0.583333333333333
"51005301","corey_alan_stewart",22,17,0.772727272727273
"51005302","corey_alan_stewart",48,23,0.479166666666667
"51005401","corey_alan_stewart",31,22,0.709677419354839
"51005402","corey_alan_stewart",32,19,0.59375
"51005501","corey_alan_stewart",14,10,0.714285714285714
"51005502","corey_alan_stewart",52,34,0.653846153846154
