,id_string,"Andrew G. ""Andy"" Baan  Republican",Jarome Bell  Republican,Jen A. Kiggans  Republican,L. Tommy Altman III  Republican,Precinct_#,County
0,# AB - Central Absentee Precinct (02),4,16,27,3,# AB,ACCOMACK_COUNTY
1,# EV - Central Absentee Precinct (02),1,77,86,10,# EV,ACCOMACK_COUNTY
2,# PE - Central Absentee Precinct (02),0,2,0,0,# PE,ACCOMACK_COUNTY
3,## Provisional (02),0,0,0,0,## P,ACCOMACK_COUNTY
4,101 - CHINCOTEAGUE (02),4,236,66,14,101 ,ACCOMACK_COUNTY
5,201 - ATLANTIC (02),0,58,40,4,201 ,ACCOMACK_COUNTY
6,202 - GREENBACKVILLE (02),3,83,68,9,202 ,ACCOMACK_COUNTY
7,301 - NEW CHURCH (02),11,69,34,1,301 ,ACCOMACK_COUNTY
8,401 - BLOXOM (02),4,35,21,0,401 ,ACCOMACK_COUNTY
9,402 - PARKSLEY (02),3,42,33,2,402 ,ACCOMACK_COUNTY
10,403 - SAXIS (02),2,20,28,0,403 ,ACCOMACK_COUNTY
11,501 - MAPPSVILLE (02),0,23,19,0,501 ,ACCOMACK_COUNTY
12,502 - RUE (02),1,8,9,3,502 ,ACCOMACK_COUNTY
13,601 - ACCOMAC (02),0,70,71,9,601 ,ACCOMACK_COUNTY
14,602 - TANGIER (02),3,38,23,0,602 ,ACCOMACK_COUNTY
15,701 - NANDUA (02),2,66,97,4,701 ,ACCOMACK_COUNTY
16,801 - BOBTOWN (02),3,26,31,10,801 ,ACCOMACK_COUNTY
17,802 - MELFA (02),1,26,24,4,802 ,ACCOMACK_COUNTY
18,803 - WACHAPREAGUE (02),6,48,35,5,803 ,ACCOMACK_COUNTY
19,901 - PAINTER (02),4,63,64,10,901 ,ACCOMACK_COUNTY
20,Member House of Representatives (02),1237,11330,23300,5972,Memb,ACCOMACK_COUNTY
21,Member House of Representatives (02) - ACCOMACK COUNTY,52,1006,776,88,Memb,ACCOMACK_COUNTY
0,# AB - Central Absentee Precinct (02),53,72,282,61,# AB,CHESAPEAKE_CITY
1,# EV - Central Absentee Precinct (02),23,162,271,171,# EV,CHESAPEAKE_CITY
2,# PE - Central Absentee Precinct (02),4,11,20,6,# PE,CHESAPEAKE_CITY
3,## Provisional (02),1,7,8,0,## P,CHESAPEAKE_CITY
4,001 - GREAT BRIDGE (02),3,84,92,49,001 ,CHESAPEAKE_CITY
5,002 - BETHEL (02),1,87,135,56,002 ,CHESAPEAKE_CITY
6,006 - DEEP CREEK (02),1,61,42,27,006 ,CHESAPEAKE_CITY
7,007 - GREENBRIER (02),9,92,135,34,007 ,CHESAPEAKE_CITY
8,009 - BELLS MILL (02),3,60,112,130,009 ,CHESAPEAKE_CITY
9,014 - GRASSFIELD (02),3,103,112,59,014 ,CHESAPEAKE_CITY
10,016 - HICKORY GROVE (02),3,97,108,119,016 ,CHESAPEAKE_CITY
11,017 - INDIAN CREEK (02),4,53,73,46,017 ,CHESAPEAKE_CITY
12,023 - OAK GROVE (02),5,45,76,26,023 ,CHESAPEAKE_CITY
13,028 - SUNRAY I (02),2,15,19,12,028 ,CHESAPEAKE_CITY
14,034 - HICKORY MIDDLE SCHOOL (02),1,80,154,68,034 ,CHESAPEAKE_CITY
15,036 - GREAT BRIDGE BAPTIST CHURCH (02),2,51,103,59,036 ,CHESAPEAKE_CITY
16,037 - BRIDGETOWN (02),6,58,90,42,037 ,CHESAPEAKE_CITY
17,039 - LAKE DRUMMOND (02),7,46,66,23,039 ,CHESAPEAKE_CITY
18,041 - JOHN T WEST (02),5,82,61,71,041 ,CHESAPEAKE_CITY
19,042 - PARKWAYS (02),3,34,33,11,042 ,CHESAPEAKE_CITY
20,043 - PLEASANT CROSSING (02),6,105,118,43,043 ,CHESAPEAKE_CITY
21,045 - SUNRAY II (02),2,19,11,9,045 ,CHESAPEAKE_CITY
22,046 - BELLS MILL II (02),3,48,74,49,046 ,CHESAPEAKE_CITY
23,049 - WATERWAY (02),4,66,70,35,049 ,CHESAPEAKE_CITY
24,050 - RIVER WALK (02),6,54,81,33,050 ,CHESAPEAKE_CITY
25,051 - COOPERS WAY (02),5,85,120,100,051 ,CHESAPEAKE_CITY
26,052 - SHIPYARD ROAD (02),1,25,36,10,052 ,CHESAPEAKE_CITY
27,053 - FAIRWAYS (02),0,65,108,23,053 ,CHESAPEAKE_CITY
28,054 - PUGHSVILLE (02),0,2,0,0,054 ,CHESAPEAKE_CITY
29,056 - GREEN TREE (02),3,55,47,30,056 ,CHESAPEAKE_CITY
30,059 - CLEARFIELD (02),5,55,79,34,059 ,CHESAPEAKE_CITY
31,060 - PARKER ROAD (02),7,58,91,73,060 ,CHESAPEAKE_CITY
