County/City,Ward,Pct,"Barbara Jean Comstock","Wayshak Edward Hill","All Others","Total Votes Cast"
,,,,
"Clarke County",-,"101 - Russell",166,154,0,320
"Clarke County",-,"201 - Berryville",113,97,0,210
"Clarke County",-,"301 - Millwood",78,83,0,161
"Clarke County",-,"302 - Pine Grove",48,37,0,85
"Clarke County",-,"401 - White Post",119,120,0,239
"Clarke County",-,"501 - Buckmarsh",110,70,0,180
"Clarke County",-,"502 - Blue Ridge",39,39,0,78
"Clarke County",-,"Ab - Central Absentee Precinct",34,23,0,57
"Clarke County",-,Provisional,0,0,0,0
"Fairfax County",-,"229 - Fox Mill",306,132,0,438
"Fairfax County",-,"240 - Colvin",208,49,0,257
"Fairfax County",-,"301 - Chain Bridge",257,52,0,309
"Fairfax County",-,"303 - Churchill",106,24,0,130
"Fairfax County",-,"304 - Cooper",179,20,0,199
"Fairfax County",-,"306 - Great Falls",217,48,0,265
"Fairfax County",-,"309 - Kenmore",280,75,0,355
"Fairfax County",-,"311 - Langley",218,39,0,257
"Fairfax County",-,"314 - Mclean",151,42,0,193
"Fairfax County",-,"321 - Clearview",206,103,0,309
"Fairfax County",-,"322 - Forestville",325,77,0,402
"Fairfax County",-,"323 - Shouse",154,51,0,205
"Fairfax County",-,"327 - Sugarland",199,77,0,276
"Fairfax County",-,"328 - Hickory",260,89,0,349
"Fairfax County",-,"329 - Seneca",269,116,0,385
"Fairfax County",-,"331 - Spring Hill",232,43,0,275
"Fairfax County",-,"803 - Clifton",309,202,0,511
"Fairfax County",-,"804 - Colchester",131,85,0,216
"Fairfax County",-,"805 - Fairfax Station",119,68,0,187
"Fairfax County",-,"815 - Woodyard",225,96,0,321
"Fairfax County",-,"838 - Sangster",145,68,0,213
"Fairfax County",-,"839 - Silverbrook",231,112,0,343
"Fairfax County",-,"841 - Popes Head",142,64,0,206
"Fairfax County",-,"845 - Fountainhead",290,127,0,417
"Fairfax County",-,"847 - Greenbriar West",128,63,0,191
"Fairfax County",-,"849 - Newgate",358,144,0,502
"Fairfax County",-,"850 - South Run",214,104,0,318
"Fairfax County",-,"902 - Brookfield",111,105,0,216
"Fairfax County",-,"903 - Cub Run",204,89,0,293
"Fairfax County",-,"904 - Stonecroft",63,68,0,131
"Fairfax County",-,"905 - Franklin",48,35,0,83
"Fairfax County",-,"908 - Hidden Meadow",131,62,0,193
"Fairfax County",-,"909 - Oak Hill",119,50,0,169
"Fairfax County",-,"911 - Navy",151,67,0,218
"Fairfax County",-,"913 - Rocky Run",187,117,0,304
"Fairfax County",-,"914 - Vale",131,63,0,194
"Fairfax County",-,"915 - Virginia Run",173,140,0,313
"Fairfax County",-,"916 - Waples Mill",263,133,0,396
"Fairfax County",-,"917 - Stone North",85,31,0,116
"Fairfax County",-,"920 - Chantilly",106,43,0,149
"Fairfax County",-,"921 - Deer Park",212,119,0,331
"Fairfax County",-,"923 - Bull Run",142,143,0,285
"Fairfax County",-,"925 - Old Mill",63,41,0,104
"Fairfax County",-,"927 - Armfield",61,37,0,98
"Fairfax County",-,"928 - Poplar Tree",169,62,0,231
"Fairfax County",-,"929 - Difficult Run",61,23,0,84
"Fairfax County",-,"930 - Lees Corner",98,73,0,171
"Fairfax County",-,"931 - Carson",72,53,0,125
"Fairfax County",-,"932 - Stone South",24,26,0,50
"Fairfax County",-,"Ab - Central Absentee Precinct",633,231,0,864
"Fairfax County",-,Provisional,6,1,0,7
"Frederick County",-,"101 - Russells",169,164,0,333
"Frederick County",-,"102 - Gore",102,173,0,275
"Frederick County",-,"103 - Kernstown",226,184,0,410
"Frederick County",-,"104 - Cedar Creek",89,79,0,168
"Frederick County",-,"201 - Gainesborough",90,149,0,239
"Frederick County",-,"202 - Albin",153,185,0,338
"Frederick County",-,"203 - Redland",171,202,0,373
"Frederick County",-,"204 - Nain",194,155,0,349
"Frederick County",-,"301 - Clear Brook",89,88,0,177
"Frederick County",-,"302 - Neff's Town",138,136,0,274
"Frederick County",-,"303 - White Hall",225,194,0,419
"Frederick County",-,"401 - Carpers Valley",164,145,0,309
"Frederick County",-,"402 - Shenandoah",76,83,0,159
"Frederick County",-,"403 - Parkin's Mill",90,143,0,233
"Frederick County",-,"404 - Armel",120,138,0,258
"Frederick County",-,"501 - Stephens City",162,169,0,331
"Frederick County",-,"502 - Newtown",139,173,0,312
"Frederick County",-,"503 - Canterburg",197,215,0,412
"Frederick County",-,"601 - Millbrook",90,92,0,182
"Frederick County",-,"602 - Ash Hollow",106,134,0,240
"Frederick County",-,"603 - Greenwood",169,260,0,429
"Frederick County",-,"Ab - Central Absentee Precinct",96,101,0,197
"Frederick County",-,Provisional,1,2,0,3
"Loudoun County",-,"107 - Little River",129,60,0,189
"Loudoun County",-,"108 - Mercer",87,64,0,151
"Loudoun County",-,"112 - Freedom",60,43,0,103
"Loudoun County",-,"114 - Dulles South",61,40,0,101
"Loudoun County",-,"117 - Carter",18,18,0,36
"Loudoun County",-,"118 - Moorefield",68,50,0,118
"Loudoun County",-,"119 - Arcola",127,97,0,224
"Loudoun County",-,"120 - Lunsford",107,41,0,148
"Loudoun County",-,"121 - Town Hall",91,34,0,125
"Loudoun County",-,"122 - Hutchison Farm",112,71,0,183
"Loudoun County",-,"123 - Cardinal Ridge",92,35,0,127
"Loudoun County",-,"124 - Liberty",74,51,0,125
"Loudoun County",-,"125 - Rock Ridge",62,21,0,83
"Loudoun County",-,"207 - River Bend",114,82,0,196
"Loudoun County",-,"208 - Algonkian",106,73,0,179
"Loudoun County",-,"209 - Potomac Falls",122,57,0,179
"Loudoun County",-,"210 - Cascades",108,76,0,184
"Loudoun County",-,"213 - Countryside",40,26,0,66
"Loudoun County",-,"214 - Sugarland North",296,78,0,374
"Loudoun County",-,"215 - Sugarland South",163,94,0,257
"Loudoun County",-,"216 - Lowes Island",184,70,0,254
"Loudoun County",-,"217 - South Bank",173,80,0,253
"Loudoun County",-,"218 - University Center",57,43,0,100
"Loudoun County",-,"219 - Galilee Church",74,74,0,148
"Loudoun County",-,"301 - Purcellville",181,81,0,262
"Loudoun County",-,"302 - Round Hill",227,129,0,356
"Loudoun County",-,"303 - Hillsboro",137,133,0,270
"Loudoun County",-,"305 - Philomont",97,55,0,152
"Loudoun County",-,"307 - Middleburg",88,49,0,137
"Loudoun County",-,"308 - St Louis",72,45,0,117
"Loudoun County",-,"309 - Aldie",68,45,0,113
"Loudoun County",-,"310 - Mountain View",171,94,0,265
"Loudoun County",-,"311 - Round Hill Elementary",181,94,0,275
"Loudoun County",-,"312 - Briar Woods",73,40,0,113
"Loudoun County",-,"313 - Pinebrook",115,79,0,194
"Loudoun County",-,"314 - Legacy",81,42,0,123
"Loudoun County",-,"315 - Firehouse",61,44,0,105
"Loudoun County",-,"316 - Creighton's Corner",84,40,0,124
"Loudoun County",-,"318 - Madison's Trust",116,86,0,202
"Loudoun County",-,"319 - John Champe",89,54,0,143
"Loudoun County",-,"320 - Stone Hill",47,23,0,70
"Loudoun County",-,"321 - Brambleton Middle",43,21,0,64
"Loudoun County",-,"401 - West Lovettsville",200,162,0,362
"Loudoun County",-,"402 - Waterford",190,120,0,310
"Loudoun County",-,"403 - Lucketts",172,120,0,292
"Loudoun County",-,"407 - Harper Park",72,57,0,129
"Loudoun County",-,"408 - Evergreen",121,80,0,201
"Loudoun County",-,"409 - Clarkes Gap",182,139,0,321
"Loudoun County",-,"411 - East Lovettsville",132,165,0,297
"Loudoun County",-,"413 - Tuscarora",8,6,0,14
"Loudoun County",-,"414 - Red Rock",67,42,0,109
"Loudoun County",-,"416 - Hamilton",246,145,0,391
"Loudoun County",-,"420 - River Creek",178,101,0,279
"Loudoun County",-,"421 - Between The Hills",19,25,0,44
"Loudoun County",-,"422 - Sycolin Creek",117,71,0,188
"Loudoun County",-,"501 - West Leesburg",145,94,0,239
"Loudoun County",-,"502 - East Leesburg",64,73,0,137
"Loudoun County",-,"503 - Dry Mill",76,55,0,131
"Loudoun County",-,"504 - Smarts Mill",140,75,0,215
"Loudoun County",-,"505 - Cool Spring",207,89,0,296
"Loudoun County",-,"506 - Brandon Park",65,40,0,105
"Loudoun County",-,"507 - Greenway",97,61,0,158
"Loudoun County",-,"508 - Balls Bluff",115,75,0,190
"Loudoun County",-,"509 - Tolbert",74,68,0,142
"Loudoun County",-,"510 - Heritage",90,61,0,151
"Loudoun County",-,"615 - Hillside",155,69,0,224
"Loudoun County",-,"616 - Eagle Ridge",147,54,0,201
"Loudoun County",-,"617 - Oak Grove",20,14,0,34
"Loudoun County",-,"619 - Ridgetop",17,18,0,35
"Loudoun County",-,"620 - Russell Branch",172,94,0,266
