County/City,Ward,Pct,"Jennifer Ann Kiggans","Jarome Bell","Larry Thomas Altman, III","Andrew George Baan","All Others","Total Votes Cast"
,,,,,,
"Accomack County",-,"101 - Chincoteague",66,236,14,4,0,320
"Accomack County",-,"201 - Atlantic",40,58,4,0,0,102
"Accomack County",-,"202 - Greenbackville",68,83,9,3,0,163
"Accomack County",-,"301 - New Church",34,69,1,11,0,115
"Accomack County",-,"401 - Bloxom",21,35,0,4,0,60
"Accomack County",-,"402 - Parksley",33,42,2,3,0,80
"Accomack County",-,"403 - Saxis",28,20,0,2,0,50
"Accomack County",-,"501 - Mappsville",19,23,0,0,0,42
"Accomack County",-,"502 - Rue",9,8,3,1,0,21
"Accomack County",-,"601 - Accomac",71,70,9,0,0,150
"Accomack County",-,"602 - Tangier",23,38,0,3,0,64
"Accomack County",-,"701 - Nandua",97,66,4,2,0,169
"Accomack County",-,"801 - Bobtown",31,26,10,3,0,70
"Accomack County",-,"802 - Melfa",24,26,4,1,0,55
"Accomack County",-,"803 - Wachapreague",35,48,5,6,0,94
"Accomack County",-,"901 - Painter",64,63,10,4,0,141
"Accomack County",-,"##ab - Central Absentee Precinct",27,16,3,4,0,50
"Accomack County",-,"##ev - Central Absentee Precinct",86,77,10,1,0,174
"Accomack County",-,"##pe - Central Absentee Precinct",0,2,0,0,0,2
"Accomack County",-,Provisional,0,0,0,0,0,0
"Chesapeake City",-,"1 - Great Bridge",92,84,49,3,0,228
"Chesapeake City",-,"2 - Bethel",135,87,56,1,0,279
"Chesapeake City",-,"6 - Deep Creek",42,61,27,1,0,131
"Chesapeake City",-,"7 - Greenbrier",135,92,34,9,0,270
"Chesapeake City",-,"9 - Bells Mill",112,60,130,3,0,305
"Chesapeake City",-,"14 - Grassfield",112,103,59,3,0,277
"Chesapeake City",-,"16 - Hickory Grove",108,97,119,3,0,327
"Chesapeake City",-,"17 - Indian Creek",73,53,46,4,0,176
"Chesapeake City",-,"23 - Oak Grove",76,45,26,5,0,152
"Chesapeake City",-,"28 - Sunray I",19,15,12,2,0,48
"Chesapeake City",-,"34 - Hickory Middle School",154,80,68,1,0,303
"Chesapeake City",-,"36 - Great Bridge Baptist Church",103,51,59,2,0,215
"Chesapeake City",-,"37 - Bridgetown",90,58,42,6,0,196
"Chesapeake City",-,"39 - Lake Drummond",66,46,23,7,0,142
"Chesapeake City",-,"41 - John T West",61,82,71,5,0,219
"Chesapeake City",-,"42 - Parkways",33,34,11,3,0,81
"Chesapeake City",-,"43 - Pleasant Crossing",118,105,43,6,0,272
"Chesapeake City",-,"45 - Sunray II",11,19,9,2,0,41
"Chesapeake City",-,"46 - Bells Mill II",74,48,49,3,0,174
"Chesapeake City",-,"49 - Waterway",70,66,35,4,0,175
"Chesapeake City",-,"50 - River Walk",81,54,33,6,0,174
"Chesapeake City",-,"51 - Coopers Way",120,85,100,5,0,310
"Chesapeake City",-,"52 - Shipyard Road",36,25,10,1,0,72
"Chesapeake City",-,"53 - Fairways",108,65,23,0,0,196
"Chesapeake City",-,"54 - Pughsville",0,2,0,0,0,2
"Chesapeake City",-,"56 - Green Tree",47,55,30,3,0,135
"Chesapeake City",-,"59 - Clearfield",79,55,34,5,0,173
"Chesapeake City",-,"60 - Parker Road",91,58,73,7,0,229
"Chesapeake City",-,"61 - Centerville",149,79,106,3,0,337
"Chesapeake City",-,"62 - Fentress",124,85,71,8,0,288
"Chesapeake City",-,"63 - Poplar Branch",81,42,50,2,0,175
"Chesapeake City",-,"64 - Deep Creek Ii",35,46,26,2,0,109
"Chesapeake City",-,"65 - Waterway Ii",108,59,60,3,0,230
"Chesapeake City",-,"##ab - Central Absentee Precinct",282,72,61,53,0,468
"Chesapeake City",-,"##ev - Central Absentee Precinct",271,162,171,23,0,627
"Chesapeake City",-,"##pe - Central Absentee Precinct",20,11,6,4,0,41
"Chesapeake City",-,Provisional,8,7,0,1,0,16
"Franklin City",-,"101 - Precinct 1-1",47,36,13,3,0,99
