County/City,Ward,Pct,"Edward Walter Gillespie","Corey Alan Stewart","Frank W. Wagner","All Others","Total Votes Cast"
,,,,,
"Accomack County",-,"101 - Chincoteague",94,63,37,0,194
"Accomack County",-,"201 - Atlantic",40,57,16,0,113
"Accomack County",-,"202 - Greenbackville",48,47,13,0,108
"Accomack County",-,"301 - New Church",35,41,12,0,88
"Accomack County",-,"401 - Bloxom",26,32,6,0,64
"Accomack County",-,"402 - Parksley",33,31,13,0,77
"Accomack County",-,"403 - Saxis",11,17,4,0,32
"Accomack County",-,"501 - Mappsville",25,23,1,0,49
"Accomack County",-,"502 - Rue",6,16,2,0,24
"Accomack County",-,"601 - Accomac",64,53,13,0,130
"Accomack County",-,"602 - Tangier",31,49,25,0,105
"Accomack County",-,"701 - Nandua",76,92,26,0,194
"Accomack County",-,"801 - Bobtown",40,38,12,0,90
"Accomack County",-,"802 - Melfa",25,36,4,0,65
"Accomack County",-,"803 - Wachapreague",37,50,9,0,96
"Accomack County",-,"901 - Painter",95,61,16,0,172
"Accomack County",-,"Ab - Central Absentee Precinct",15,12,3,0,30
"Accomack County",-,Provisional,0,0,0,0,0
"Albemarle County",-,"101 - Woodbrook",87,85,24,0,196
"Albemarle County",-,"103 - Branchlands",35,18,7,0,60
"Albemarle County",-,"104 - Agnor-hurt",30,48,8,0,86
"Albemarle County",-,"105 - Dunlora",74,55,21,0,150
"Albemarle County",-,"106 - Northside",68,89,28,0,185
"Albemarle County",-,"201 - Jack Jouett",74,44,23,0,141
"Albemarle County",-,"202 - University Hall",26,7,6,0,39
"Albemarle County",-,"203 - Georgetown",32,31,10,0,73
"Albemarle County",-,"204 - Belfield",46,32,14,0,92
"Albemarle County",-,"301 - Ivy",109,87,33,0,229
"Albemarle County",-,"302 - Red Hill",46,92,15,0,153
"Albemarle County",-,"304 - East Ivy",52,19,5,0,76
"Albemarle County",-,"305 - Country Green",39,55,12,0,106
"Albemarle County",-,"306 - Porters",16,55,5,0,76
"Albemarle County",-,"307 - Yellow Mountain",10,10,11,0,31
"Albemarle County",-,"401 - Scottsville",42,72,3,0,117
"Albemarle County",-,"402 - Monticello",39,72,5,0,116
"Albemarle County",-,"405 - Cale",50,78,11,0,139
"Albemarle County",-,"406 - Stone Robinson",110,136,34,0,280
"Albemarle County",-,"501 - Keswick",27,58,9,0,94
"Albemarle County",-,"502 - Stony Point",53,65,19,0,137
"Albemarle County",-,"503 - Hollymead",54,66,26,0,146
"Albemarle County",-,"504 - Free Bridge",113,84,24,0,221
"Albemarle County",-,"506 - Baker-butler",80,124,18,0,222
"Albemarle County",-,"601 - Crozet",88,105,28,0,221
"Albemarle County",-,"602 - Free Union",43,30,6,0,79
"Albemarle County",-,"603 - Earlysville",87,106,24,0,217
"Albemarle County",-,"604 - Brownsville",122,90,33,0,245
"Albemarle County",-,"Ab - Central Absentee Precinct",74,45,19,0,138
"Albemarle County",-,Provisional,4,1,1,0,6
"Alexandria City",-,"101 - Ladrey Senior Building",99,33,12,0,144
"Alexandria City",-,"102 - City Hall",134,32,18,0,184
"Alexandria City",-,"103 - Lyles Crouch School",147,42,16,0,205
"Alexandria City",-,"104 - Durant Center",93,36,21,0,150
"Alexandria City",-,"105 - Lee Center",93,27,17,0,137
"Alexandria City",-,"106 - Cora Kelly Center",70,28,14,0,112
"Alexandria City",-,"107 - Mt Vernon Recreation Center",108,44,21,0,173
"Alexandria City",-,"108 - George Washington Middle Sch",111,42,22,0,175
"Alexandria City",-,"109 - Fire Department Headquarters",103,41,23,0,167
"Alexandria City",-,"110 - Charles Houston Center",60,18,14,0,92
"Alexandria City",-,"201 - Maury School",107,28,21,0,156
"Alexandria City",-,"202 - George Mason School",153,39,21,0,213
"Alexandria City",-,"203 - Agudas Achim Synagogue",87,43,7,0,137
"Alexandria City",-,"204 - Blessed Sacrament Church",157,31,22,0,210
