County/City,Ward,Pct,"Corey Alan Stewart","Nicholas Jason Freitas","Earl Walker Jackson, Sr.","All Others","Total Votes Cast"
,,,,,
"Accomack County",-,"101 - Chincoteague",79,91,9,0,179
"Accomack County",-,"201 - Atlantic",45,47,7,0,99
"Accomack County",-,"202 - Greenbackville",59,63,14,0,136
"Accomack County",-,"301 - New Church",30,44,8,0,82
"Accomack County",-,"401 - Bloxom",27,19,5,0,51
"Accomack County",-,"402 - Parksley",33,65,8,0,106
"Accomack County",-,"403 - Saxis",19,14,1,0,34
"Accomack County",-,"501 - Mappsville",8,31,3,0,42
"Accomack County",-,"502 - Rue",4,12,1,0,17
"Accomack County",-,"601 - Accomac",51,74,1,0,126
"Accomack County",-,"602 - Tangier",51,26,5,0,82
"Accomack County",-,"701 - Nandua",81,115,9,0,205
"Accomack County",-,"801 - Bobtown",36,46,8,0,90
"Accomack County",-,"802 - Melfa",17,35,5,0,57
"Accomack County",-,"803 - Wachapreague",40,49,5,0,94
"Accomack County",-,"901 - Painter",75,93,7,0,175
"Accomack County",-,"Ab - Central Absentee Precinct",15,13,6,0,34
"Accomack County",-,Provisional,0,0,0,0,0
"Albemarle County",-,"101 - Woodbrook",50,102,18,0,170
"Albemarle County",-,"103 - Branchlands",30,10,9,0,49
"Albemarle County",-,"104 - Agnor-hurt",33,29,14,0,76
"Albemarle County",-,"105 - Dunlora",43,68,22,0,133
"Albemarle County",-,"106 - Northside",52,89,35,0,176
"Albemarle County",-,"201 - Jack Jouett",88,89,41,0,218
"Albemarle County",-,"202 - University Hall",7,29,4,0,40
"Albemarle County",-,"203 - Georgetown",15,26,16,0,57
"Albemarle County",-,"301 - Ivy",67,111,26,0,204
"Albemarle County",-,"302 - Red Hill",63,46,17,0,126
"Albemarle County",-,"304 - East Ivy",22,27,6,0,55
"Albemarle County",-,"305 - Country Green",29,41,13,0,83
"Albemarle County",-,"306 - Porters",46,27,17,0,90
"Albemarle County",-,"307 - Yellow Mountain",18,8,8,0,34
"Albemarle County",-,"401 - Scottsville",53,21,5,0,79
"Albemarle County",-,"402 - Monticello",46,31,6,0,83
"Albemarle County",-,"405 - Cale",36,44,23,0,103
"Albemarle County",-,"406 - Stone Robinson",104,103,31,0,238
"Albemarle County",-,"407 - Biscuit Run",13,26,8,0,47
"Albemarle County",-,"501 - Keswick",33,36,12,0,81
"Albemarle County",-,"502 - Stony Point",46,78,21,0,145
"Albemarle County",-,"503 - Hollymead",53,49,18,0,120
"Albemarle County",-,"504 - Free Bridge",37,40,10,0,87
"Albemarle County",-,"506 - Baker-butler",85,95,22,0,202
"Albemarle County",-,"507 - Pantops",50,58,16,0,124
"Albemarle County",-,"601 - Crozet",64,52,25,0,141
"Albemarle County",-,"602 - Free Union",40,25,13,0,78
"Albemarle County",-,"603 - Earlysville",80,87,44,0,211
"Albemarle County",-,"604 - Brownsville",50,47,10,0,107
"Albemarle County",-,"606 - Mechums River",58,60,17,0,135
"Albemarle County",-,"Ab - Central Absentee Precinct",43,47,14,0,104
"Albemarle County",-,Provisional,0,2,0,0,2
"Alexandria City",-,"101 - Ladrey Senior Building",42,31,7,0,80
"Alexandria City",-,"102 - City Hall",18,28,7,0,53
"Alexandria City",-,"103 - Lyles Crouch School",45,43,7,0,95
"Alexandria City",-,"104 - Durant Center",30,35,5,0,70
"Alexandria City",-,"105 - Lee Center",36,50,7,0,93
"Alexandria City",-,"106 - Cora Kelly",28,33,6,0,67
"Alexandria City",-,"107 - Mt Vernon Recreation Center",32,35,8,0,75
"Alexandria City",-,"108 - George Washington Middle Sch",34,49,4,0,87
"Alexandria City",-,"109 - Fire Department Headquarters",35,49,4,0,88
"Alexandria City",-,"110 - Charles Houston Center",26,55,7,0,88
"Alexandria City",-,"111 - Potomac Yard",17,26,6,0,49
"Alexandria City",-,"201 - Maury School",32,37,11,0,80
"Alexandria City",-,"202 - George Mason School",24,31,3,0,58
"Alexandria City",-,"203 - Agudas Achim Synagogue",29,31,8,0,68
"Alexandria City",-,"204 - Blessed Sacrament Church",14,47,6,0,67
"Alexandria City",-,"205 - Douglas Macarthur School",30,50,13,0,93
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr",25,27,3,0,55
"Alexandria City",-,"207 - Temple Beth El Synagogue",47,59,16,0,122
"Alexandria City",-,"208 - Nova Arts Center",27,27,4,0,58
"Alexandria City",-,"209 - James K Polk School",33,27,4,0,64
"Alexandria City",-,"210 - The Hermitage",25,24,7,0,56
"Alexandria City",-,"302 - Patrick Henry Rec Center",22,30,4,0,56
"Alexandria City",-,"303 - Charles E Beatley Library",34,26,8,0,68
"Alexandria City",-,"304 - Samuel Tucker School",28,29,9,0,66
"Alexandria City",-,"305 - John Adams School",23,19,9,0,51
"Alexandria City",-,"306 - William Ramsay School",21,15,9,0,45
"Alexandria City",-,"307 - South Port",39,22,9,0,70
"Alexandria City",-,"308 - Cameron Station Community Ctr",67,61,19,0,147
"Alexandria City",-,"Ab - Central Absentee Precinct",51,98,23,0,172
"Alexandria City",-,Provisional,0,1,0,0,1
"Alleghany County",-,"101 - Arritt",20,5,1,0,26
"Alleghany County",-,"103 - Dameron",9,6,3,0,18
"Alleghany County",-,"201 - Humpback Bridge",6,7,3,0,16
"Alleghany County",-,"202 - Dolly Ann",14,7,3,0,24
