"fips","bush","carson","cruz","gilmore","huckabee","kasich","others","paul","rubio","trump"
"51001",4,411,685,4,10,210,11,12,907,2068
"51003",61,665,2422,14,22,2306,46,48,5522,3664
"51510",90,272,1037,15,11,3159,40,36,6366,2558
"51005",4,131,244,0,5,68,4,4,379,742
"51007",4,142,470,2,3,56,5,2,456,1055
"51009",10,428,1209,2,10,152,12,7,875,1777
"51011",6,207,625,1,7,82,2,12,436,1033
"51013",121,387,1747,9,10,5033,87,80,10970,3721
"51015",42,1080,3159,4,31,807,34,28,3407,5117
"51017",1,51,69,1,2,35,1,3,147,296
"51019",31,1272,4471,4,18,820,20,24,3232,5330
"51021",3,73,170,0,2,45,1,1,183,584
"51023",13,440,1620,2,12,322,9,15,1519,2185
"51520",1,151,542,0,7,86,0,3,458,988
"51025",4,92,133,1,0,54,6,2,283,561
"51027",4,55,266,0,3,47,0,2,313,1588
"51029",8,125,292,1,4,50,7,4,368,871
"51530",3,70,109,0,2,39,3,2,180,195
"51031",17,888,2468,2,12,333,6,32,1796,3399
"51033",11,274,580,4,6,148,10,11,747,1446
"51035",11,340,816,2,9,169,8,8,731,2412
"51036",1,49,187,0,1,28,2,2,145,252
"51037",10,107,217,1,2,49,7,1,290,798
"51540",21,104,322,3,2,526,2,15,1349,489
"51550",72,2182,4286,20,44,1737,62,80,8854,11425
"51041",147,2784,9953,43,55,3792,87,139,18869,18055
"51043",11,176,542,0,2,196,9,10,746,836
"51570",8,162,433,3,4,97,8,13,756,1417
"51580",2,32,67,0,1,27,0,1,100,203
"51045",2,45,243,0,2,18,1,5,137,403
"51047",21,496,1614,9,14,442,20,22,1707,2620
"51049",0,90,276,2,0,31,5,3,327,660
"51590",13,274,601,1,9,188,10,8,727,1453
"51051",4,98,218,2,6,33,1,1,233,911
"51053",10,182,459,6,5,102,6,2,575,1457
"51595",5,35,39,0,0,18,2,0,104,180
"51057",4,91,142,2,3,63,5,2,409,446
"51600",12,98,484,4,7,520,22,12,1124,762
"51059",655,4147,17058,81,114,23156,510,370,52732,33079
"51610",10,37,191,0,0,367,5,6,708,246
"51061",57,898,2635,8,11,1225,52,49,3726,4890
"51063",7,185,623,0,6,98,4,6,482,1022
"51065",7,232,780,2,7,277,10,9,1031,1280
"51620",3,47,103,1,2,51,1,7,262,291
"51067",17,592,1912,1,13,440,22,11,1541,3652
"51069",45,939,2957,5,15,780,39,29,3341,4732
"51630",14,134,308,2,8,344,10,11,746,708
"51640",1,69,77,1,2,39,1,1,111,303
"51071",7,175,372,2,4,95,3,4,516,1037
"51073",14,530,864,8,20,363,20,13,1856,2907
"51075",12,271,986,6,4,395,15,10,1903,1820
"51077",2,148,338,2,7,61,5,2,329,959
"51079",16,220,704,0,3,204,3,14,747,1057
"51081",2,44,90,2,0,23,3,0,160,371
"51083",10,302,696,0,4,143,5,4,640,2157
"51650",39,716,1254,10,15,614,37,38,2929,3881
"51085",50,1372,5400,17,21,1545,61,58,7572,8589
"51660",20,268,703,1,5,370,17,18,1561,989
"51087",136,1868,6602,53,46,4217,113,121,16537,12919
"51089",10,417,1132,3,12,193,10,9,1093,2921
"51091",0,23,87,1,1,25,2,0,90,164
"51670",6,77,298,0,3,71,7,3,363,942
"51093",20,393,841,4,9,372,11,12,1846,2498
"51095",68,806,1977,9,12,2380,47,32,5780,4246
"51099",13,370,764,4,9,262,10,11,1033,1437
"51101",8,159,647,1,5,88,9,13,646,1133
"51103",7,144,175,3,0,255,7,5,651,874
"51105",5,124,396,0,6,68,10,1,342,1089
"51678",7,30,50,0,0,109,1,0,243,109
"51107",200,2235,7701,22,40,5966,146,157,20854,14427
"51109",13,312,1133,4,9,256,19,14,1306,2095
"51111",2,168,182,1,1,35,2,1,293,642
"51680",24,1104,2976,7,13,643,22,51,3123,2334
"51113",8,224,462,0,8,142,8,1,421,908
"51683",15,230,759,0,4,279,12,10,1187,1378
